app,category,rating,reviews,size_mb,installs,type,price,content_rating,genre,updated,version,android
Pedometer,HEALTH_AND_FITNESS,4.4,400592,2.9,10000000,Free,0,Everyone,Health & Fitness,"July 4, 2018",5.23,4.0 and up
HTC Service － DLNA,VIDEO_PLAYERS,3.9,3484,3,10000000,Free,0,Everyone,Video Players & Editors,"December 3, 2015",7.10.621414,5.0 and up
Backgrounds (HD Wallpapers),PERSONALIZATION,4.7,202474,3,10000000,Free,0,Teen,Personalization,"August 9, 2017",2.6.0,4.0 and up
TAMAGO,FAMILY,3,42515,1.6,5000000,Free,0,Everyone,Casual,"May 23, 2018",1.0.3,2.3.3 and up
WiFi Baby Monitor - NannyCam,VIDEO_PLAYERS,4.1,29867,1.7,5000000,Free,0,Everyone,Video Players & Editors,"May 24, 2017",3.1.0 (build 1210),2.3.3 and up
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166367,1.8,5000000,Free,0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166363,1.8,5000000,Free,0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up
Caf - My Account,LIFESTYLE,3.9,18961,1.8,5000000,Free,0,Everyone,Lifestyle,"September 24, 2015",1.1.1,2.3 and up
Bluetooth Auto Connect,COMMUNICATION,3.9,20829,1.9,5000000,Free,0,Everyone,Communication,"November 17, 2017",4.5.4,3.0 and up
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1.9,5000000,Free,0,Everyone,Productivity,"May 31, 2018",1.26.2,4.0.3 and up
AppLock - Fingerprint Unlock,TOOLS,4.5,112482,2.1,5000000,Free,0,Everyone,Tools,"July 10, 2018",1.0.5,4.0 and up
All Language Translator,TOOLS,4,29944,2.1,5000000,Free,0,Everyone,Tools,"October 3, 2015",1.6,2.3 and up
The Maner,PRODUCTIVITY,4.2,53015,2.2,5000000,Free,0,Everyone,Productivity,"November 12, 2017",2.2.2,2.3 and up
Don't touch my phone,TOOLS,3.8,21943,2.3,5000000,Free,0,Everyone,Tools,"October 19, 2016",30,2.3 and up
Archos File Manager,PRODUCTIVITY,4,2131,2.3,5000000,Free,0,Everyone,Productivity,"April 22, 2016",4.1.4,4.1 and up
Wave Z Live Wallpaper,PERSONALIZATION,4.2,63699,2.3,5000000,Free,0,Teen,Personalization,"September 21, 2015",1.1.6,2.3 and up
Download Blazer,TOOLS,3.9,34612,2.4,5000000,Free,0,Everyone,Tools,"June 12, 2018",2.0.7,4.1 and up
HTC Transfer Tool,TOOLS,4.3,40907,2.6,5000000,Free,0,Everyone,Tools,"July 27, 2017",6.0.932740,2.2 and up
Web Browser & Fast Explorer,SOCIAL,4.4,54768,2.6,5000000,Free,0,Everyone,Social,"May 16, 2018",3.6.1,4.0.3 and up
English Grammar Test,FAMILY,4.6,104676,2.6,5000000,Free,0,Everyone,Education,"July 18, 2018",1.9.7,4.0 and up
Blogger,SOCIAL,3.7,138026,2.7,5000000,Free,0,Mature 17+,Social,"February 29, 2016",2.1.3,2.1 and up
Sexy Hot Detector Prank,FAMILY,3.9,17067,2.7,5000000,Free,0,Everyone,Casual,"February 13, 2018",2.4.4,4.1 and up
Mobile Number Tracker,TOOLS,3.9,19758,2.9,5000000,Free,0,Everyone,Tools,"January 14, 2018",2.7,4.0 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1,5000000,Free,0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up
EZ Clock & Weather Widget,WEATHER,4.2,6849,1.2,1000000,Free,0,Everyone,Weather,"March 5, 2014",v1.9.6 beta 1,2.1 and up
Hacker's Keyboard,PRODUCTIVITY,4.4,41418,1.2,1000000,Free,0,Everyone,Productivity,"December 11, 2016",v1.39.3,2.2 and up
ES Material Theme for Pro,PRODUCTIVITY,4.2,14428,1.2,1000000,Free,0,Everyone,Productivity,"December 3, 2015",2.0.3,2.2 and up
Farsi Keyboard,TOOLS,4.3,9716,1.3,1000000,Free,0,Everyone,Tools,"April 10, 2018",4.7,4.0 and up
EZ Video Download for Facebook,SOCIAL,4.1,34079,1.3,1000000,Free,0,Teen,Social,"March 14, 2017",2.001,4.0.3 and up
BombSquad Remote,GAME,4.1,13304,1.3,1000000,Free,0,Everyone,Arcade,"November 30, 2016",1.2.21,4.0 and up
NSE Mobile Trading,FINANCE,4.1,13868,1.4,1000000,Free,0,Everyone,Finance,"August 3, 2017",1.1.16,2.1 and up
All Social Networks,SOCIAL,4.2,22650,1.5,1000000,Free,0,Everyone,Social,"May 21, 2018",2.4.12,4.0 and up
Word Search multilingual,GAME,4.2,32849,1.5,1000000,Free,0,Everyone,Word,"September 30, 2015",2.2.13,2.3 and up
All Social Networks,SOCIAL,4.2,22492,1.5,1000000,Free,0,Everyone,Social,"May 21, 2018",2.4.12,4.0 and up
Multiple Videos at Same Time,VIDEO_PLAYERS,4.4,4706,1.5,1000000,Free,0,Everyone,Video Players & Editors,"June 19, 2018",Z (Special Edition R9),4.4 and up
Walking: Pedometer diet,HEALTH_AND_FITNESS,3.7,1861,1.5,1000000,Free,0,Everyone,Health & Fitness,"June 18, 2018",1.5,2.3 and up
sABN,BUSINESS,4.4,2287,1.5,1000000,Free,0,Everyone,Business,"March 26, 2018",4.9,2.2 and up
Add Text To Photo,PHOTOGRAPHY,4.1,21578,1.6,1000000,Free,0,Everyone,Photography,"September 8, 2017",1.1.3,2.3 and up
Advanced Download Manager Holo,TOOLS,4.4,16192,1.6,1000000,Free,0,Everyone,Tools,"July 13, 2016",4.1.9o,4.0 and up
Fast Download Manager,TOOLS,4,18478,1.7,1000000,Free,0,Everyone,Tools,"August 4, 2018",1.0.5,2.3 and up
Photo Compress 2.0 - Ad Free,TOOLS,4.1,6267,1.7,1000000,Free,0,Everyone,Tools,"May 7, 2016",2.1,3.2 and up
Fingerprint Quick Action,TOOLS,4.2,8484,1.7,1000000,Free,0,Everyone,Tools,"July 22, 2018",0.15.2,6.0 and up
AppBrain Ad Detector,TOOLS,3.7,9221,1.7,1000000,Free,0,Everyone,Tools,"April 12, 2018",2.2.1,4.1 and up
H Pack,LIFESTYLE,4.3,9412,1.7,1000000,Free,0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up
LG AV REMOTE,TOOLS,3.4,2420,1.8,1000000,Free,0,Everyone,Tools,"June 3, 2016",1.1.8,2.3.3 and up
C++ Programming,EDUCATION,4.3,11904,1.8,1000000,Free,0,Everyone,Education,"August 22, 2015",2,2.3 and up
Lotto Results - Mega Millions Powerball Lottery US,NEWS_AND_MAGAZINES,4.5,14221,1.8,1000000,Free,0,Teen,News & Magazines,"December 11, 2015",2.0.3,2.3.3 and up
C Programming,FAMILY,4.3,22248,1.8,1000000,Free,0,Everyone,Education,"June 28, 2015",3,2.3 and up
C Programming,EDUCATION,4.3,22251,1.8,1000000,Free,0,Everyone,Education,"June 28, 2015",3,2.3 and up
ES Themes -- Classic Theme,PERSONALIZATION,4.4,77609,1.9,1000000,Free,0,Everyone,Personalization,"April 24, 2015",1.14,1.6 and up
DashClock Widget,PERSONALIZATION,4.1,62301,1.9,1000000,Free,0,Everyone,Personalization,"May 11, 2016",1.7.2,4.2 and up
SIM Card Info,TOOLS,4.1,4234,1.9,1000000,Free,0,Everyone,Tools,"May 25, 2018",5.3.9,4.0 and up
HD Camera Pro for Android,PHOTOGRAPHY,4.1,49211,1.9,1000000,Free,0,Everyone,Photography,"January 19, 2017",1.5.5,2.1 and up
QuickShortcutMaker,PERSONALIZATION,4.6,41000,2,1000000,Free,0,Everyone,Personalization,"February 23, 2014",2.4.0,1.6 and up
DU Browser Mini(Small&Fast),TOOLS,4.2,20941,2,1000000,Free,0,Everyone,Tools,"December 23, 2016",1.12.23,4.0 and up
Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4,8769,2.1,1000000,Free,0,Everyone,Communication,"April 5, 2018",1.1.4,5.0 and up
Screen Lock,TOOLS,4.2,68309,2.1,1000000,Free,0,Everyone,Tools,"November 23, 2017",v3.9f,4.0 and up
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
S Launcher for Galaxy TouchWiz,PERSONALIZATION,4.2,11244,2.2,1000000,Free,0,Everyone,Personalization,"June 12, 2018",1.1.1,4.1 and up
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2,1000000,Free,0,Everyone,Communication,"March 20, 2018",1.4.1.0,4.0.3 and up
AntennaPict β,COMMUNICATION,4.3,15439,2.2,1000000,Free,0,Everyone,Communication,"November 7, 2016",2.0.0,2.3 and up
ES Classic Theme,TOOLS,4.3,20865,2.2,1000000,Free,0,Everyone,Tools,"October 30, 2015",2.0.3,2.1 and up
GO SMS Pro Z Glass Theme EX,PERSONALIZATION,3.8,24198,2.2,1000000,Free,0,Everyone,Personalization,"July 10, 2014",1,1.6 and up
Love Images,SOCIAL,4.3,16404,2.3,1000000,Free,0,Everyone,Social,"June 24, 2018",1.6,2.3 and up
AL Voice Recorder,PRODUCTIVITY,3.6,4832,2.4,1000000,Free,0,Everyone,Productivity,"November 22, 2016",2.1.7.3,3.0 and up
My baby Phone,PARENTING,3.7,9293,2.4,1000000,Free,0,Everyone,Parenting,"May 28, 2018",2.03.2714,4.0 and up
Blur,PHOTOGRAPHY,4,9013,2.4,1000000,Free,0,Everyone,Photography,"June 18, 2018",4.0.2,4.4 and up
EasyNote Notepad | To Do List,TOOLS,4.3,15618,2.4,1000000,Free,0,Everyone,Tools,"November 27, 2017",1.5.2,2.3 and up
BQ Services,TOOLS,3.7,5004,2.5,1000000,Free,0,Everyone,Tools,"July 9, 2018",8.3.6-e04ac87,Varies with device
Virtual Walkie Talkie,COMMUNICATION,3.8,21785,2.5,1000000,Free,0,Everyone,Communication,"August 13, 2015",1.41,2.3 and up
PORTABLE SOCCER DX Lite,SPORTS,4.2,15068,2.5,1000000,Free,0,Everyone,Sports,"June 19, 2018",3.4,2.3 and up
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3031,2.7,1000000,Free,0,Everyone,Lifestyle,"July 3, 2018",1.5.3,4.0 and up
Voice Lock Screen,LIFESTYLE,3.7,6667,2.7,1000000,Free,0,Everyone,Lifestyle,"April 2, 2018",2.4.2,4.0 and up
Display Phone Screen On TV,TOOLS,3.6,9895,2.7,1000000,Free,0,Everyone,Tools,"February 3, 2017",2,4.2 and up
JackThreads: Men's Shopping,SHOPPING,4,13085,2.7,1000000,Free,0,Teen,Shopping,"November 8, 2017",5.1,4.0.3 and up
JackThreads: Men's Shopping,SHOPPING,4,13085,2.7,1000000,Free,0,Teen,Shopping,"November 8, 2017",5.1,4.0.3 and up
Bluetooth Pair,TOOLS,3.5,1960,2.7,1000000,Free,0,Everyone,Tools,"August 4, 2018",2.5,4.1 and up
JackThreads: Men's Shopping,SHOPPING,4,13085,2.7,1000000,Free,0,Teen,Shopping,"November 8, 2017",5.1,4.0.3 and up
My baby firework,PARENTING,3.7,4976,2.8,1000000,Free,0,Everyone,Parenting;Education,"May 28, 2018",2.04.2714,4.0 and up
"Speed Booster - Ram, Battery & Game Speed Booster",TOOLS,4.7,85079,2.8,1000000,Free,0,Everyone,Tools,"July 17, 2018",1.0.4,2.3 and up
Ninesky Browser,COMMUNICATION,4.2,42925,2.8,1000000,Free,0,Everyone,Communication,"August 27, 2017",6.1,2.3 and up
The Messenger App,SOCIAL,4.4,4919,2.8,1000000,Free,0,Everyone,Social,"August 3, 2018",0.1.1,4.1 and up
Google AdSense,PRODUCTIVITY,4.3,52677,2.9,1000000,Free,0,Everyone,Productivity,"December 13, 2017",3.3,4.0 and up
Love Fonts for FlipFont,PERSONALIZATION,3.9,28694,2.9,1000000,Free,0,Everyone,Personalization,"January 14, 2018",1.4.6,4.0.3 and up
HD Video Player,VIDEO_PLAYERS,4.3,1551,2.9,1000000,Free,0,Everyone,Video Players & Editors,"July 25, 2018",1.1,4.1 and up
EZ Launcher,PERSONALIZATION,4.2,18926,2.9,1000000,Free,0,Everyone,Personalization,"September 28, 2013",0.5.2 beta,2.2 and up
AndStream - Streaming Download,VIDEO_PLAYERS,4.3,38607,2.9,1000000,Free,0,Everyone,Video Players & Editors,"March 19, 2017",3.1.8,2.3 and up
AcDisplay,PERSONALIZATION,4.1,66473,3,1000000,Free,0,Everyone,Personalization,"July 30, 2015",3.8.4,4.1 and up
A/C Universal Remote Control,TOOLS,3.1,3263,3,1000000,Free,0,Everyone,Tools,"May 16, 2017",1.17,3.0 and up
Four In A Line,GAME,3.8,22191,3,1000000,Free,0,Everyone,Board,"May 4, 2015",1.1,2.3 and up
English speaking texts,EDUCATION,4.4,1619,3,1000000,Free,0,Everyone,Education,"July 20, 2018",1.2,1.6 and up
wikiHow: how to do anything,BOOKS_AND_REFERENCE,4.4,43088,3,1000000,Free,0,Teen,Books & Reference,"April 19, 2017",2.7.3,4.0 and up
EGW Writings,BOOKS_AND_REFERENCE,4.7,24278,3.1,1000000,Free,0,Everyone,Books & Reference,"December 27, 2017",2.1.2,2.2 and up
"Free Messages, Video, Chat,Text for Messenger Plus",SOCIAL,4.3,6086,3.1,1000000,Free,0,Teen,Social,"June 14, 2018",1.0.9,4.3 and up
Plants vs. Zombies™ Watch Face,FAMILY,3.5,33178,3.1,1000000,Free,0,Everyone,Casual,"February 2, 2015",1.0.5,4.3 and up
OnePlus Icon Pack - Square,PERSONALIZATION,4.7,229,1.1,500000,Free,0,Everyone,Personalization,"May 23, 2018",1.9.1.180419172630.4a15962,5.0 and up
MIUI Style GO Weather EX,WEATHER,4.2,2115,1.1,500000,Free,0,Everyone,Weather,"July 4, 2014",1.3,1.6 and up
camera zoom moon,PHOTOGRAPHY,3.7,1213,1.1,500000,Free,0,Everyone,Photography,"January 23, 2018",1.06,2.3 and up
CJ VLC HD Remote (+ Stream),VIDEO_PLAYERS,4.2,4074,1.3,500000,Free,0,Everyone,Video Players & Editors,"November 13, 2013",1.2.4,2.1 and up
Ad Detect Plugin - Handy Tool,PRODUCTIVITY,3.8,5107,1.4,500000,Free,0,Everyone,Productivity,"December 28, 2015",1.6.3,2.3 and up
Pronunciation and know the name of the caller from his number,LIFESTYLE,4.6,2167,1.4,500000,Free,0,Everyone,Lifestyle,"January 7, 2018",1,2.3 and up
AdClear Ad blocker for Samsung,TOOLS,4.2,1586,1.5,500000,Free,0,Everyone,Tools,"September 7, 2017",1.0.5,5.0 and up
Nights Keeper (do not disturb),LIFESTYLE,4.5,16426,1.6,500000,Free,0,Everyone,Lifestyle,"February 26, 2017",2.7.8,2.2 and up
Blood pressure,HEALTH_AND_FITNESS,3.4,2256,1.6,500000,Free,0,Everyone,Health & Fitness,"July 31, 2014",1.1.0,4.0 and up
ES Holo Theme for Pro,PRODUCTIVITY,4.2,4737,1.7,500000,Free,0,Everyone,Productivity,"November 26, 2015",2.0.3,2.0 and up
ES Holo Theme,TOOLS,4.3,11449,1.7,500000,Free,0,Everyone,Tools,"February 2, 2016",2.0.4,2.0 and up
Smart-AC Universal Remote Free,FAMILY,1.8,3270,1.8,500000,Free,0,Everyone,Entertainment,"August 18, 2015",1,2.2 and up
OnTrack Diabetes,MEDICAL,4.3,6079,1.8,500000,Free,0,Everyone,Medical,"January 17, 2018",3.2.7,2.1 and up
JW Caleb y Sofia,FAMILY,4.6,5227,1.9,500000,Free,0,Everyone,Education,"November 20, 2015",1,4.0.3 and up
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up
Resume PDF Maker / CV Builder,BUSINESS,4.4,2147,2.2,500000,Free,0,Everyone,Business,"December 14, 2017",1.8,4.4 and up
Step Counter - Calorie Counter,HEALTH_AND_FITNESS,4,1577,2.2,500000,Free,0,Everyone,Health & Fitness,"August 12, 2017",1.0.7,4.4 and up
search.ch,TRAVEL_AND_LOCAL,4.4,11514,2.2,500000,Free,0,Everyone,Travel & Local,"March 29, 2018",5.5,4.0 and up
EM Launcher for EMUI,PERSONALIZATION,4.1,3175,2.3,500000,Free,0,Everyone,Personalization,"April 6, 2018",1.0.6,4.1 and up
Web Browser,COMMUNICATION,4.2,10965,2.3,500000,Free,0,Everyone,Communication,"February 2, 2015",2,3.0 and up
Vintage Flower CM Locker Theme,PERSONALIZATION,4.3,2910,2.3,500000,Free,0,Everyone,Personalization,"January 24, 2016",1.0.0,4.0 and up
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3,500000,Free,0,Everyone,Communication,"July 10, 2017",4.5.1,4.0 and up
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up
Young Speeches,LIBRARIES_AND_DEMO,NaN,2221,2.4,500000,Free,0,Everyone,Libraries & Demo,"January 8, 2017",1.1,2.3 and up
"Ruler(cm, inch)",TOOLS,3.4,2889,2.5,500000,Free,0,Everyone,Tools,"July 27, 2016",1.1.0,2.3 and up
Learn English for beginners,EDUCATION,4.5,1929,2.5,500000,Free,0,Everyone,Education,"September 28, 2017",1.1,2.3 and up
World Cup 2018,SPORTS,4.6,4011,2.6,500000,Free,0,Teen,Sports,"July 1, 2018",1.0.16,2.3 and up
Blood Pressure Log - MyDiary,MEDICAL,4.7,8347,2.6,500000,Free,0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up
Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,2.6,500000,Free,0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up
Study Checker,EDUCATION,4.2,3816,2.6,500000,Free,0,Everyone,Education,"May 4, 2016",3.6.0.115_FN,2.3 and up
Lollipop Keyboard L Pro,PERSONALIZATION,3.6,5525,2.6,500000,Free,0,Everyone,Personalization,"June 6, 2016",1.6,2.3 and up
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0,Everyone,Books & Reference,"January 21, 2018",1,4.0 and up
How Do I Look,PHOTOGRAPHY,2.7,3032,2.8,500000,Free,0,Everyone,Photography,"December 8, 2017",1.3,3.0 and up
EZ Cleaner - Booster Optimizer,TOOLS,4.4,6801,2.8,500000,Free,0,Everyone,Tools,"January 8, 2018",1.3.1,4.0.3 and up
ADWLauncher 1 EX,PERSONALIZATION,4.3,28728,2.8,500000,Paid,2.49,Everyone,Personalization,"July 27, 2013",1.3.3.9,1.6 and up
AK-47 Sounds,FAMILY,3.9,656,2.9,500000,Free,0,Everyone 10+,Entertainment,"September 14, 2016",2,2.3.3 and up
A Word A Day,FAMILY,3.7,2398,2.9,500000,Free,0,Everyone,Education,"January 5, 2017",5.8,4.0 and up
U Camera : Phone 6s OS 9 style,PHOTOGRAPHY,4.2,2158,3,500000,Free,0,Everyone,Photography,"August 28, 2017",1.0.3,4.0 and up
X-ray scanner simulator,FAMILY,2.7,1616,3,500000,Free,0,Everyone,Casual,"January 8, 2017",7,2.1 and up
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3,500000,Free,0,Everyone,Lifestyle,"August 4, 2018",2,2.3 and up
German Vocabulary Trainer,FAMILY,3.3,1218,1,100000,Free,0,Everyone,Education,"August 24, 2012",1,2.1 and up
CABLE SIZE CALCULATOR BS 7671,TOOLS,3.9,333,1.1,100000,Free,0,Everyone,Tools,"February 3, 2016",2.4,2.3 and up
Mini for fb lite,TOOLS,4,710,1.1,100000,Free,0,Everyone,Tools,"May 24, 2018",1,2.3 and up
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up
"Savory - Deals,Freebies,Sales",SHOPPING,4.4,2375,1.1,100000,Free,0,Everyone,Shopping,"November 2, 2016",3.1,2.3.3 and up
CM Launcher Default Theme,PERSONALIZATION,4.5,3989,1.1,100000,Free,0,Everyone,Personalization,"September 11, 2015",1.1.1,4.0 and up
DG Coupon,SHOPPING,3.7,668,1.1,100000,Free,0,Everyone,Shopping,"July 16, 2018",20,4.0 and up
FINAL FANTASY DIMENSIONS,FAMILY,4.3,8450,1.1,100000,Paid,13.99,Everyone,Role Playing,"March 15, 2017",1.1.3,2.3.3 and up
Y! Mobile menu,BUSINESS,NaN,9,1.2,100000,Free,0,Everyone,Business,"April 9, 2018",1.0.5,6.0 and up
EZ File Manager(Root Explorer),PRODUCTIVITY,3.5,626,1.2,100000,Free,0,Everyone,Productivity,"June 23, 2015",1.1,3.2 and up
Homework Planner,EDUCATION,4,2525,1.2,100000,Free,0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
Sleep as Android Gear Addon,HEALTH_AND_FITNESS,2.8,961,1.3,100000,Free,0,Everyone,Health & Fitness,"February 27, 2018",1.5,4.0 and up
WiFi Tether Router,COMMUNICATION,4.2,5599,1.3,100000,Paid,2.9,Everyone,Communication,"July 2, 2018",6.2.7,1.6 and up
FarmersOnly Dating,DATING,3,1145,1.4,100000,Free,0,Mature 17+,Dating,"February 25, 2016",2.2,4.0 and up
DS Tower Defence,GAME,3.2,768,1.4,100000,Free,0,Everyone,Arcade,"June 5, 2013",1,1.5 and up
ChatBolo - AI Chatbot Online,FAMILY,3.3,1407,1.4,100000,Free,0,Everyone,Entertainment,"September 25, 2015",2.1,2.2 and up
EZ App Installer,TOOLS,4.1,533,1.4,100000,Free,0,Everyone,Tools,"July 22, 2017",1.4.13,4.0 and up
B.T.,NEWS_AND_MAGAZINES,2.8,636,1.4,100000,Free,0,Everyone,News & Magazines,"June 8, 2018",1.12.2,4.1 and up
FarmersOnly Dating,DATING,3,1146,1.4,100000,Free,0,Mature 17+,Dating,"February 25, 2016",2.2,4.0 and up
M Notifier for M Launcher,TOOLS,4.2,2803,1.4,100000,Free,0,Everyone,Tools,"February 15, 2017",1.0.4,4.0 and up
MB Notifications for FB (Free),SOCIAL,3.9,3047,1.5,100000,Free,0,Teen,Social,"April 29, 2015",1.17.0,2.3 and up
AZ Camera - Manual Pro Cam,PHOTOGRAPHY,3.4,2332,1.6,100000,Free,0,Everyone,Photography,"August 28, 2015",2.2,5.0 and up
Crazy Colors: Bubbles Matching,FAMILY,4.6,3063,1.6,100000,Free,0,Everyone,Board;Brain Games,"May 24, 2018",2.9.7,3.0 and up
HTC Sense Input - FA,TOOLS,4.6,1420,1.6,100000,Free,0,Everyone,Tools,"November 9, 2015",1.0.606863,5.0 and up
Video Download For FB,TOOLS,4.3,444,1.6,100000,Free,0,Everyone,Tools,"July 14, 2017",1,3.0 and up
AC REMOTE UNIVERSAL-PRO,FAMILY,1.6,402,1.7,100000,Free,0,Everyone,Entertainment,"December 11, 2015",1,2.2 and up
Nero AirBurn,VIDEO_PLAYERS,4.2,1008,1.7,100000,Free,0,Everyone,Video Players & Editors,"June 26, 2015",1.0.9,4.0 and up
CARS.bg,AUTO_AND_VEHICLES,4.5,276,1.7,100000,Free,0,Everyone,Auto & Vehicles,"July 5, 2017",1.1.3,4.4 and up
Korean English Translator,FAMILY,4.4,634,1.8,100000,Free,0,Everyone,Education,"September 5, 2017",1.6,2.3 and up
weight conversion calculator,TOOLS,4,807,1.8,100000,Free,0,Everyone,Tools,"May 18, 2018",20180517,2.3 and up
IQ Test,PRODUCTIVITY,4.2,1623,1.8,100000,Free,0,Everyone,Productivity,"March 6, 2018",1.8,2.3 and up
