app,reviews,rating,size,price
DS finder,2596,4,32,0
AAS-IN-ASIA 2018,3,,11,0
News.aw,1,,1,0
The Wall Street Journal: Business & Market News,40975,4.1,36,0
Nose Doctor X: Booger Mania,37584,3.2,34,0
JackThreads: Men's Shopping,13085,4,2.7,0
Funny Jokes,2505,3.9,2.9,0
Natural recipes for your beauty,1150,4.7,9.8,0
EZ-Placard - Free Placard Calculator,7,2.9,2.4,0
Dr. Chess,97209,4.1,6.7,0
Lottery Results: Florida,582,4.2,3.2,0
Sway Medical,3,5,22,0
eBoox: book reader fb2 epub zip,21336,4.7,23,0
BN PERKS™,0,,15,0
Fodbold DK Pro,315,4.6,4.3,2.99
HAL-9000 - FN Theme,159,3.5,0.257,0
Hill Climb Racing,8923847,4.4,63,0
Pocket U ASW,93,3.9,28,0
Kick Axe Bx,0,,9.3,0
X Launcher: With OS11 Style Theme & Control Center,5754,4.7,4.4,0
Geometry Dash SubZero,260527,4.6,49,0
CQ: Lost In Transmission,4,4.2,61,0
Ultimate Control BT,14,4.6,4.3,0
DG Smart life,14,2.1,28,0
Step Counter - Calorie Counter,1577,4,2.2,0
Visage Lab – face retouch,49523,3.5,,0
CJ Apps,0,,24,0
Ready4 SAT (Prep4 SAT),13612,4.6,48,0
Inches to Centimeters,949,3.6,0.411,0
Dinosaur Simulator: Dino World,26649,4,66,0
MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking,599872,4.3,,0
Rosetta Stone: Learn to Speak & Read New Languages,172508,4.5,76,0
Genius Scan - PDF Scanner,42492,4.4,,0
CT Cervical Spine,5,5,17,0
Manga Rock - Best Manga Reader,238970,4.4,28,0
British Columbia Tourist Places (Guide),1,4,3,0
50 Healthy Slow Cooker Recipes,196,4,9,0
In to cm,0,,2.3,0
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,13469,4,5.1,0
Fast Download Manager,18478,4,1.7,0
Step Counter - Pedometer Free & Calorie Counter,117925,4.7,7,0
EZ LED,19,2.2,2.1,0
Text Free: WiFi Calling App,83488,4.2,,0
HD Mickey Minnie Wallpapers,118,4.7,23,0
NYTimes - Latest News,63647,3.9,23,0
"edX - Online Courses by Harvard, MIT & more",32381,4.6,10,0
Run with Map My Run,183669,4.5,57,0
Wish - Shopping Made Fun,6210998,4.5,15,0
Granny,1138239,4.5,59,0
Ulysse Speedometer,40211,4.3,,0
Faceoff DP Battle App,38,4.8,6.7,0
Wuwu & Co.,9,,77,2.99
AG Subway Simulator Lite,6738,4.4,56,0
Phoenix - Facebook & Messenger,9606,4.3,3.4,0
Live Hold’em Pro Poker - Free Casino Games,1123190,4.6,,0
Economic Times : Market News,93708,4.3,,0
Learn JavaScript,25183,4.6,5.4,0
FR Calculator,7,4,2.6,0
Duaa Ek Ibaadat,122,4.9,26,0
CD Supply,0,,14,0
BD Field Force,41,4.2,15,0
► MultiCraft ― Free Miner! 👍,1305050,4.3,,0
C4droid - C/C++ compiler & IDE,2890,4.7,,2.99
Calorie Counter - EasyFit free,50294,4.7,11,0
Deus Ex GO,9699,4.5,23,0.99
Allsetra B.V.,15,4.1,24,0
ARK: Survival Evolved,51523,3.8,36,0
EC Sampler,0,,30,0
FBReader: Favorite Book Reader,203130,4.5,,0
Offroad Car G,64884,4.3,37,0
Florida Lottery Results,763,4.1,2.2,0
The Washington Post Classic,23158,4.5,,0
MYTO CZ,30,2.9,4.8,0
Skiplagged — Exclusive Flights & Hotels,10035,4.6,,0
Axe Throw: Flip Champ Axes Champion Throwing Games,1,,13,0
AV HD Video Player,6,3.8,23,0
Simple Habit Meditation,11689,4.7,20,0
Pink Silver Bow Keyboard Theme,1120,4.2,9.2,0
Snapchat,17014705,4,,0
DN Premium Hookah Lounge,1,,4.2,0
Thomas & Friends: Delivery,28737,4.2,17,0
Human Anatomy Atlas 2018: Complete 3D Human Body,2923,4.5,25,24.99
Hello Kitty Nail Salon,369378,4.2,24,0
Fast like a Fox,104389,4.3,12,0
Dz kayas,0,,14,28.99
O-Star,59,4.4,38,0
EZ game screen recorder with audio 1080P,40,4.1,3.9,0
C.B. Shop,19,,19,0
Dungeons and Dragons DM Tools,50,3.1,4.9,1.99
BW-Joseki,705,4.7,1.8,0
Motocross Fun Simulator,22570,3.8,35,0
Dr. Rocket,42182,4,3.4,0
News360: Personalized News,30722,4.4,,0
Wallpapers AK 12,0,,11,0
QuickShortcutMaker,41000,4.6,2,0
BLACKJACK!,524467,4.4,33,0
"sugar, sugar",1405,4.2,9.5,1.2
Mini DAYZ: Zombie Survival,94661,4.1,,0
Shadow Fight 2,10979062,4.6,88,0
"Zapya - File Transfer, Sharing",387958,4.6,9,0
Credit Sesame,25166,4.3,11,0
Citibanamex Movil,52306,3.6,42,0
Despegar.com Hotels and Flights,150932,4.4,27,0
Itau bank,957973,4.2,40,0
DC Super Hero Girls™,43055,4.3,95,0
English Hindi Dictionary,384368,4.4,,0
Car Driving Simulator Citroen,174,3.8,44,0
"CM Flashlight (Compass, SOS)",166363,4.4,1.8,0
"Sticker Camera - Selfie Filters, Beauty Camera",2277,3.9,22,0
EW Widgets for Zooper,5,3.4,1.9,0
Future Cloud,1075,4.6,,0
HD Themes Toyota Cruiser70,0,,15,0
BJ Bridge Acol Beginner 2018,11,3.7,4.8,0
To Do List,253155,4.7,3.5,0
Photo Lock App - Hide Pictures & Videos,29203,4.5,3.3,0
Paprika Recipe Manager,1268,4.1,2.3,4.99
BJ-DRONE,1,,23,0
D.N. College Meerut,0,,19,0
Skyscanner,481546,4.5,29,0
Check Vehicle Tax,295,3.9,2.7,0
Zombie Tsunami,4921409,4.4,,0
Barisal University App-BU Face,100,5,10,0
Smart Launcher 5,512106,4.4,,0
Room Creator Interior Design,59660,3.9,72,0
Love Balls,360630,4.2,40,0
Bubble,31621,4.5,0.208,0
FP Runner,38,3.7,29,0
E.U. Trademark Search Tool,0,,3.1,0
10 WPM Amateur ham radio CW Morse code trainer,10,3.5,3.8,1.49
X Construction,18612,4.5,8.5,1.49
Profile Tracker - Who Viewed My Facebook Profile,37090,4.7,4.8,0
Anime Avatar Creator: Make Your Own Avatar,10944,4.2,36,0
Safety stepping stone,4212,3.7,20,0
Wondershare PowerCam,329160,4.2,27,0
EY TaxLaw NL,9,,3.3,0
EI!,0,,7.7,0
"Resume Maker:Free CV Maker,Templates Builder",715,4.2,7.1,0
Cardboard,130287,4.2,50,0
Profile Pictures - Best DP Status,131,4.3,5.4,0
CL Strength,3,5,40,0
Barcelona Wallpaper HD,93,4.5,5.7,0
Tennis Temple - Live Scores,5305,4.6,,0
AAFP,63,3.8,24,0
Diary with lock,815280,4.6,4.4,0
Backgrounds HD (Wallpapers),2390185,4.6,,0
TextNow - free text + calls,441189,4.4,,0
Restaurantführer Südbaden,46,4.1,12,0
EY EMEIA Diversity & Inclusion,4,,12,0
DY Fitness,0,,43,0
FH Dortmund FB4,40,,9.9,0
Super Jim Jump - pixel 3d,10434,4.5,18,0
The Simpsons™: Tapped Out,636995,4.3,49,0
OpenVPN Connect – Fast & Safe SSL VPN Client,154578,4.2,14,0
Live Talk - Free Text and Video Chat,185,4.6,5,0
Ovia Parenting & Baby Development Tracker,6185,4.7,38,0
OK K.O.! Lakewood Plaza Turbo,76608,4.5,24,0
Sya9a Maroc - FR,38,4.5,53,0
Space Coast CU Mobile,922,3.8,2.1,0
tökr,17,4.6,14,0
Plants vs. Zombies FREE,4064868,4.4,69,0
AK-47 Sounds,656,3.9,2.9,0
Diário Escola Mestres EF,11,,6.6,0
Golden Dictionary (FR-AR),5775,4.2,4.9,0
"IndiaMART: Search Products, Buy, Sell & Trade",207372,4.5,11,0
Adventure Quest World Mobile Quiz,28,4.6,26,0
Capitec Remote Banking,20672,4.3,,0
Animal Planet GO,2442,4.2,9.6,0
Asana: organize team projects,20815,4.3,10,0
BG Blurry HD Wallpapers,1,,5.1,0
E2CR CL,0,,25,0
Who,2451093,4.3,,0
Learn C Programming (Examples) (OFFLINE),43,4.3,3.7,0
Volvo CE Insider,45,4.2,24,0
Smart AppLock (App Protect),137562,4.4,,0
AK Blackjack,4,,7.6,0
"Bleacher Report: sports news, scores, & highlights",122280,4.4,,0
Beauty Tips - Beauty Tips in Sinhala,75,4.4,4.2,0
FD CANNECT,1,,75,0
Seen,118285,4.5,22,0
RetroArch,21423,3.8,84,0
Driver Permit Test Prep DC DMV Driver's License Ed,78,4.7,11,0
Sketchfab,906,4.3,9.2,0
Tech CU Card Manager,2,1,7.2,0
JW Library,922752,4.9,,0
HOLSTON EC,7,4.1,4.2,0
DW Audio,38,4.9,5,0
Offroad G-Class 2018,7715,4.4,28,0
3D Holograms Joke,31596,2.9,31,0
Zombie Catchers,990663,4.7,75,0
WhatsApp Messenger,69119316,4.4,,0
Dr. Parker : Parking Simulator,14253,4.5,81,0
AP Chemistry Prep: Practice Tests and Flashcards,55,4.7,5.4,0
Culver's,1638,3.9,4.9,0
"Grow Stone Online : 2d pixel RPG, MMORPG game",84389,4.7,48,0
Command & Conquer: Rivals,0,,,0
Learn Basic C - For Beginners,27,4.7,0.772,0
Of the wall Arapaho bk,0,,12,0
Flipkart Online Shopping App,6003590,4.4,,0
FreedomPop Messaging Phone/SIM,9894,3.6,39,0
Aab e Hayat Full Novel,1476,4.3,41,0
Quiz CS:GO players,460,4.4,31,0
BG TV Program,1,,2.8,0
HD Camera - silent shutter,26530,4,3.9,0
"Ginger Keyboard - Emoji, GIFs, Themes & Games",162831,4.4,43,0
EURES - Your Job in Europe,358,2.7,2,0
Freedom Christian BF,0,,12,0
Monster High™,66661,4.1,22,0
Fate GO Ap Counter,70,4.6,3.2,0
Familyfirst Messenger,1,4,3.3,0
AE Solitaire,1776,4.3,26,0
Simple Gallery,28030,4.5,9,0
AF-STROKE,5,,0.902,5
BJ Bridge Standard American 2018,1,1,4.9,0
DB BAHN,4,,8,0
AJ Tracey Music and Lyrics,0,,2.7,0
Nursing Central,168,4.3,5.8,0
Moonlight GO Weather EX,11510,4.2,3.5,0
"Free Professional Resume Builder, CV, Cover Letter",831,4.2,11,0
KakaoTalk: Free Calls & Text,2546549,4.3,,0
Iqiyi (for tablet),12764,3.6,25,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,7672495,4.6,,0
Wrestling Revolution 3D,989344,4.3,51,0
Instant Buttons: The Best Soundboard,157322,4.5,9.2,0
X Home Bar - Home Bar Gesture Pro,88,4,2,1.99
Children Educational Game Full,30,4.7,,7.49
Garena Free Fire,5476569,4.5,53,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,277904,4.2,,0
Duolingo: Learn Languages Free,6290507,4.7,,0
Talking Ben the Dog,1633682,4.3,57,0
Anime et Manga Amino en Français,3782,4.8,63,0
Beauty Rental Shop,11480,4.6,93,0
BEBONCOOL GAMEPAD V1.0,404,3.9,2.2,0
Guide for IMS DB,0,,2.6,0
Al'Quran Bahasa Indonesia,361780,4.6,9.7,0
Camera360: Selfie Photo Editor with Funny Sticker,4865132,4.3,51,0
Android P Launcher 9.0 launcher,164,4,2.3,0
Docs To Go™ Free Office Suite,217730,4.1,,0
FL Drone 2,41,3.3,7.8,0
Quran for All (Al-Huda Int.),6696,4.8,5.3,0
The CW,288150,4.4,21,0
Clash of Clans,44891723,4.6,98,0
CheckPoints 🏆 Rewards App,23187,4.1,25,0
Dubsmash,1971777,4.2,29,0
Crazy Bike attack Racing New: motorcycle racing,20364,4.2,45,0
Nature Sounds,28588,4.8,24,0
FollowMyHealth®,73118,4.6,37,0
BAMMS for BM 1Park,7,,10,0
CU of Colorado Mobile Banking,347,4,25,0
CB Martial Arts,0,,8.7,0
Cute Pet Puppies,10447,4,36,0
EXO-L Amino for EXO Fans,5677,4.9,67,0
AJ Turquoise Dark Icon Pack,0,,32,0.99
BU Syllabus,38,4.5,6.5,0
DS file,10676,4.1,12,0
BR Ambedkar Biography & Quotes,156,4.6,2.1,0
"Borneo Bible, BM Bible",659,4.9,5,0
EM Launcher for EMUI,3175,4.1,2.3,0
EO SA Benefits,0,,0.518,0
Helix Jump,1498648,4.2,33,0
DW - Breaking World News,17671,4.4,17,0
What's Up,23453,4.1,10,0
Learn C++,73404,4.6,5.3,0
VAT Checker for EU company,78,4.7,,0
EB Scanner,9,5,25,0
Sweet Camera,71898,4.4,23,0
EB Events,97,3.3,16,0
Ultimate Notepad,10643,4,,0
Baby Monitor AV,1434,3.3,9.5,0
Pregcy Tracker & Countdown to Baby Due Date,658087,4.7,62,0
Quotes,58,4.4,15,0
Dr. Panda Supermarket,1357,4.2,58,2.99
Meritrust CU Mobile Banking,3661,4.7,14,0
Cerebral Palsy,38,4.4,8.5,0
বাংলা টিভি প্রো BD Bangla TV,193,4.3,14,0
Glow Hockey,1703479,4.1,,0
"Apartment List: Housing, Apt, and Property Rentals",8481,4.5,7.5,0
DB Transport,179,1.9,10,0
LinkedIn Learning: Online Courses to Learn Skills,7973,4.6,18,0
Run R Script - Online Statistical Data Analysis,8,3.9,6.2,0
Mukwonago AH,1,,29,0
bp e-store,52,4.4,2.2,0
BT Speed,3,,0.948,4.8
MLB Ballpark,5510,3.9,32,0
Spine- The dating app,5,5,9.3,0
Google Assistant,58675,4.2,1.3,0
Funny Ringtones,7146,4.4,14,0
"KVAD Camera +: Selfie, Photo Filter, Grids",23440,4.1,30,0
"3D Color by Number: Voxel, Unicorn, Pixel Art 3D",2017,4.3,,0
WannaMeet – Dating & Chat App,6701,4.1,11,0
Inbox.eu,98,3.7,9.7,0
Dete.bg,0,,29,0
Tablet Reminder,4,5,2.5,0
Story Saver for Instagram,41331,4.5,5,0
Podcast Republic - Podcast Player & Radio Player,66978,4.5,,0
EF Events,7,5,4.4,0
Five Nights at Freddy's 4,21266,4.6,45,2.99
Adobe Illustrator Draw,65766,4.4,,0
realcommercial.com.au,128,4.4,6.7,0
Microsoft OneDrive,1038306,4.4,,0
Doomsday Preppers™,137167,4.2,52,0
Shopkins World!,169609,4.3,34,0
Paint By Number,807,3.5,4.6,0
Depths of Betrayal CE (Full),363,4.3,14,2.99
Wherever BQ,7,,18,0
Find My Friends,305367,4.2,46,0
Monster Park AR - Jurassic Dinosaurs in Real World,128,3.7,20,0
Facebook,78158306,4.1,,0
TAXLANDIA,141,1.9,65,0
signály.cz,38,,0.881,0
Garden Fever - Free!,13253,3.9,12,0
Find Real Love — YouLove Premium Dating,212626,4.5,11,0
CX-10DS,12,3.4,11,0
CSHS BX,0,,18,0
Open Heart Surgery Hospital ER: Crazy Doctor Sim,7,4.7,25,0
BankMobile Vibe App,14627,4.3,23,0
QR Scanner & Barcode Scanner 2018,8211,3.8,4.1,0
boattheory.ch Full 2018,54,4.7,50,19.4
Tubi TV - Free Movies & TV,296771,4.3,11,0
Telemundo Deportes - En Vivo,36255,4.5,25,0
Guns'n'Glory Premium,3570,4.4,21,2.99
Sic Bo,1,,11,1.99
Learn to Speak English,33646,4.4,7,0
FK Zemun,3,,26,0
"Women""s Health Tips(Breast,Face,Body,weight lose)",2509,4.2,5,0
Wallpapers DAF CF 85 Trucks,0,,16,0
Mad Day - Truck Distance Game,29270,4.3,44,0
DEER HUNTER 2018,955614,4.3,82,0
Throw Knife,291,3.7,37,0
Golf Channel,19230,4.1,88,0
Myntra Online Shopping App,1315242,4.3,,0
Colorfit - Drawing & Coloring,20260,4.7,25,0
Safe365 – Cell Phone GPS Locator For Your Family,11501,4.4,11,0
Sun & Moon AR Locator,115,3.3,5.1,0
FD Fitness,3,,21,0
