app,installs,type,content,genre,version,reviews,rating,size,price
Human Anatomy Atlas 2018: Complete 3D Human Body,"100,000+",Paid,Everyone,Medical,5.0 and up,2923,4.5,25,24.99
Human Anatomy Atlas 2018: Complete 3D Human Body,"100,000+",Paid,Everyone,Medical,5.0 and up,2923,4.5,25,24.99
Human Anatomy Atlas 2018: Complete 3D Human Body,"100,000+",Paid,Everyone,Medical,5.0 and up,2923,4.5,25,24.99
"CM Flashlight (Compass, SOS)","5,000,000+",Free,Everyone,Tools,2.3 and up,166363,4.4,1.8,0
"CM Flashlight (Compass, SOS)","5,000,000+",Free,Everyone,Tools,2.3 and up,166363,4.4,1.8,0
Dr. Chess,"1,000,000+",Free,Everyone,Board,4.0.3 and up,97209,4.1,6.7,0
Runkeeper - GPS Track Run Walk,"10,000,000+",Free,Everyone,Health & Fitness,Varies with device,501144,4.5,,0
Runkeeper - GPS Track Run Walk,"10,000,000+",Free,Everyone,Health & Fitness,Varies with device,501144,4.5,,0
WannaMeet – Dating & Chat App,"1,000,000+",Free,Mature 17+,Dating,4.0.3 and up,6701,4.1,11,0
DN Premium Hookah Lounge,50+,Free,Everyone,Business,2.3 and up,1,,4.2,0
F-Secure SAFE,"500,000+",Free,Everyone,Tools,5.0 and up,9433,4.3,9.3,0
Credit Sesame,"1,000,000+",Free,Everyone,Finance,4.1 and up,25166,4.3,11,0
AK-47 Sounds,"500,000+",Free,Everyone 10+,Entertainment,2.3.3 and up,656,3.9,2.9,0
Super Jim Jump - pixel 3d,"1,000,000+",Free,Everyone,Arcade,4.0 and up,10434,4.5,18,0
Super Jim Jump - pixel 3d,"1,000,000+",Free,Everyone,Arcade,4.0 and up,10434,4.5,18,0
Super Jim Jump - pixel 3d,"1,000,000+",Free,Everyone,Arcade,4.0 and up,10434,4.5,18,0
"Expedia Hotels, Flights & Car Rental Travel Deals","10,000,000+",Free,Everyone,Travel & Local,5.0 and up,136626,4.1,14,0
"Expedia Hotels, Flights & Car Rental Travel Deals","10,000,000+",Free,Everyone,Travel & Local,5.0 and up,136626,4.1,14,0
"Expedia Hotels, Flights & Car Rental Travel Deals","10,000,000+",Free,Everyone,Travel & Local,5.0 and up,136626,4.1,14,0
"Expedia Hotels, Flights & Car Rental Travel Deals","10,000,000+",Free,Everyone,Travel & Local,5.0 and up,136626,4.1,14,0
Ay Yıldız Analog Saat,"1,000+",Free,Everyone,Personalization,4.1 and up,37,,1.7,0
Titanic App - Feminist Dating Application,500+,Free,Mature 17+,Dating,5.0 and up,120,4.5,10,0
Klara weather,"500,000+",Free,Everyone,Weather,4.0 and up,36900,4.6,4.8,0
Theme for Galaxy Note FE Launcher | Live Wallpaper,100+,Free,Everyone,Personalization,4.0 and up,2,,26,0
Dungeons and Dragons DM Tools,"1,000+",Paid,Everyone,Books & Reference,2.3 and up,50,3.1,4.9,1.99
QuickShortcutMaker,"1,000,000+",Free,Everyone,Personalization,1.6 and up,41000,4.6,2,0
Microsoft OneDrive,"100,000,000+",Free,Everyone,Productivity,Varies with device,1038306,4.4,,0
Microsoft OneDrive,"100,000,000+",Free,Everyone,Productivity,Varies with device,1038306,4.4,,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Zombie Catchers,"10,000,000+",Free,Everyone,Action,4.1 and up,990663,4.7,75,0
Quiz CS:GO players,"50,000+",Free,Everyone,Trivia,4.0.3 and up,460,4.4,31,0
Flexiroam X,"100,000+",Free,Everyone,Travel & Local,4.1 and up,875,4,21,0
Camera360: Selfie Photo Editor with Funny Sticker,"100,000,000+",Free,Everyone,Photography,4.0.3 and up,4865132,4.3,51,0
Camera360: Selfie Photo Editor with Funny Sticker,"100,000,000+",Free,Everyone,Photography,4.0.3 and up,4865132,4.3,51,0
Camera360: Selfie Photo Editor with Funny Sticker,"100,000,000+",Free,Everyone,Photography,4.0.3 and up,4865132,4.3,51,0
CQ: Lost In Transmission,10+,Free,Everyone,Action,4.4 and up,4,4.2,61,0
VAT Checker for EU company,"1,000+",Free,Everyone,Business,Varies with device,78,4.7,,0
Ultimate Notepad,"5,000,000+",Free,Everyone,Productivity,Varies with device,10643,4,,0
Dots & Co: A Puzzle Adventure,"1,000,000+",Free,Everyone,Puzzle,4.1 and up,81001,4.5,85,0
DM Adventure,10+,Free,Everyone,Adventure,2.3 and up,0,,11,0
NFL,"50,000,000+",Free,Everyone,Sports,Varies with device,459795,4.1,,0
NFL,"50,000,000+",Free,Everyone,Sports,Varies with device,459795,4.1,,0
NFL,"50,000,000+",Free,Everyone,Sports,Varies with device,459795,4.1,,0
Wish - Shopping Made Fun,"100,000,000+",Free,Everyone,Shopping,4.1 and up,6210998,4.5,15,0
Wish - Shopping Made Fun,"100,000,000+",Free,Everyone,Shopping,4.1 and up,6210998,4.5,15,0
Wish - Shopping Made Fun,"100,000,000+",Free,Everyone,Shopping,4.1 and up,6210998,4.5,15,0
Wish - Shopping Made Fun,"100,000,000+",Free,Everyone,Shopping,4.1 and up,6210998,4.5,15,0
Wish - Shopping Made Fun,"100,000,000+",Free,Everyone,Shopping,4.1 and up,6210998,4.5,15,0
Color CL,100+,Free,Everyone,Lifestyle,4.0.3 and up,2,5,1.3,0
Moonlight GO Weather EX,"1,000,000+",Free,Everyone,Weather,2.2 and up,11510,4.2,3.5,0
Google Voice,"10,000,000+",Free,Everyone,Communication,Varies with device,171031,4.2,,0
Google Voice,"10,000,000+",Free,Everyone,Communication,Varies with device,171031,4.2,,0
Google Voice,"10,000,000+",Free,Everyone,Communication,Varies with device,171031,4.2,,0
Cardboard,"10,000,000+",Free,Everyone,Libraries & Demo,4.1 and up,130287,4.2,50,0
Cardboard,"10,000,000+",Free,Everyone,Libraries & Demo,4.1 and up,130287,4.2,50,0
Plants vs. Zombies FREE,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,4064868,4.4,69,0
Plants vs. Zombies FREE,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,4064868,4.4,69,0
Plants vs. Zombies FREE,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,4064868,4.4,69,0
Plants vs. Zombies FREE,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,4064868,4.4,69,0
Plants vs. Zombies FREE,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,4064868,4.4,69,0
CD Supply,5+,Free,Mature 17+,Business,5.0 and up,0,,14,0
NYTimes - Latest News,"10,000,000+",Free,Everyone 10+,News & Magazines,4.4 and up,63647,3.9,23,0
NYTimes - Latest News,"10,000,000+",Free,Everyone 10+,News & Magazines,4.4 and up,63647,3.9,23,0
NYTimes - Latest News,"10,000,000+",Free,Everyone 10+,News & Magazines,4.4 and up,63647,3.9,23,0
Learn C Programming (Examples) (OFFLINE),"10,000+",Free,Everyone,Education,4.1 and up,43,4.3,3.7,0
App vault,"10,000,000+",Free,Everyone,Tools,Varies with device,25094,3.4,,0
"Peers.TV: broadcast TV channels First, Match TV, TNT ...","5,000,000+",Free,Teen,Entertainment,Varies with device,141980,4.1,,0
Sun & Moon AR Locator,"10,000+",Free,Everyone,Weather,4.1 and up,115,3.3,5.1,0
All Language Translator,"5,000,000+",Free,Everyone,Tools,2.3 and up,29944,4,2.1,0
"Ibotta: Cash Back Savings, Rewards & Coupons App","10,000,000+",Free,Everyone,Shopping,4.1 and up,315908,4.5,52,0
"Ibotta: Cash Back Savings, Rewards & Coupons App","10,000,000+",Free,Everyone,Shopping,4.1 and up,315908,4.5,52,0
Hangouts Dialer - Call Phones,"10,000,000+",Free,Everyone,Communication,4.0.3 and up,122498,4,0.079,0
Hangouts Dialer - Call Phones,"10,000,000+",Free,Everyone,Communication,4.0.3 and up,122498,4,0.079,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Helix Jump,"100,000,000+",Free,Everyone,Action,4.1 and up,1498648,4.2,33,0
Manga Rock - Best Manga Reader,"1,000,000+",Free,Teen,Comics,5.0 and up,238970,4.4,28,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,"5,000,000+",Free,Mature 17+,Sports,Varies with device,277904,4.2,,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,"5,000,000+",Free,Mature 17+,Sports,Varies with device,277904,4.2,,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,"5,000,000+",Free,Mature 17+,Sports,Varies with device,277904,4.2,,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,"5,000,000+",Free,Mature 17+,Sports,Varies with device,277904,4.2,,0
Yahoo Fantasy Sports - #1 Rated Fantasy App,"5,000,000+",Free,Mature 17+,Sports,Varies with device,277904,4.2,,0
YouCam Makeup - Magic Selfie Makeovers,"100,000,000+",Free,Everyone,Photography,Varies with device,3337952,4.6,,0
YouCam Makeup - Magic Selfie Makeovers,"100,000,000+",Free,Everyone,Photography,Varies with device,3337952,4.6,,0
Cerebral Palsy,"1,000+",Free,Everyone,Medical,3.0 and up,38,4.4,8.5,0
O-Star,"5,000+",Free,Everyone,Dating,4.3 and up,59,4.4,38,0
O-Star,"5,000+",Free,Everyone,Dating,4.3 and up,59,4.4,38,0
O-Star,"5,000+",Free,Everyone,Dating,4.3 and up,59,4.4,38,0
Baby Monitor AV,"100,000+",Free,Everyone,Communication,2.3 and up,1434,3.3,9.5,0
BR,"100,000+",Free,Everyone,Lifestyle,2.2 and up,859,3,3.5,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
"Bleacher Report: sports news, scores, & highlights","5,000,000+",Free,Everyone 10+,Sports,Varies with device,122280,4.4,,0
Tennis Temple - Live Scores,"100,000+",Free,Everyone,Sports,Varies with device,5305,4.6,,0
Frozen Free Fall,"50,000,000+",Free,Everyone,Puzzle;Action & Adventure,4.2 and up,1574197,4.3,37,0
Frozen Free Fall,"50,000,000+",Free,Everyone,Puzzle;Action & Adventure,4.2 and up,1574197,4.3,37,0
Frozen Free Fall,"50,000,000+",Free,Everyone,Puzzle;Action & Adventure,4.2 and up,1574197,4.3,37,0
Kids Balloon Pop Game Free 🎈,"10,000,000+",Free,Everyone,Casual;Music & Video,4.0.3 and up,38021,4.1,19,0
Kids Balloon Pop Game Free 🎈,"10,000,000+",Free,Everyone,Casual;Music & Video,4.0.3 and up,38021,4.1,19,0
Superhero Doctor 2 -ER Surgery,"10,000,000+",Free,Everyone 10+,Casual,4.0.3 and up,39647,4,72,0
Instant Buttons: The Best Soundboard,"5,000,000+",Free,Teen,Entertainment,4.1 and up,157322,4.5,9.2,0
"Resume Maker:Free CV Maker,Templates Builder","100,000+",Free,Everyone,Business,4.0.3 and up,715,4.2,7.1,0
Fast Download Manager,"1,000,000+",Free,Everyone,Tools,2.3 and up,18478,4,1.7,0
Score! Hero,"100,000,000+",Free,Everyone,Sports,4.4 and up,5419676,4.6,96,0
Score! Hero,"100,000,000+",Free,Everyone,Sports,4.4 and up,5419676,4.6,96,0
Score! Hero,"100,000,000+",Free,Everyone,Sports,4.4 and up,5419676,4.6,96,0
Bf Light,"1,000+",Free,Everyone,Business,4.1 and up,6,,11,0
Credit Karma,"10,000,000+",Free,Everyone,Finance,Varies with device,706618,4.7,,0
Credit Karma,"10,000,000+",Free,Everyone,Finance,Varies with device,706618,4.7,,0
Credit Karma,"10,000,000+",Free,Everyone,Finance,Varies with device,706618,4.7,,0
Granny,"50,000,000+",Free,Teen,Arcade,4.0 and up,1138239,4.5,59,0
Granny,"50,000,000+",Free,Teen,Arcade,4.0 and up,1138239,4.5,59,0
Granny,"50,000,000+",Free,Teen,Arcade,4.0 and up,1138239,4.5,59,0
Granny,"50,000,000+",Free,Teen,Arcade,4.0 and up,1138239,4.5,59,0
Granny,"50,000,000+",Free,Teen,Arcade,4.0 and up,1138239,4.5,59,0
DW Audio,"1,000+",Free,Everyone,Education,4.1 and up,38,4.9,5,0
Cute Pet Puppies,"1,000,000+",Free,Everyone,Simulation;Action & Adventure,2.3 and up,10447,4,36,0
CB Martial Arts,10+,Free,Everyone,Health & Fitness,4.1 and up,0,,8.7,0
Tasker,"1,000,000+",Paid,Everyone,Tools,Varies with device,43045,4.6,,2.99
Dinosaur Simulator: Dino World,"5,000,000+",Free,Teen,Action,4.2 and up,26649,4,66,0
Familyfirst Messenger,10+,Free,Everyone,Medical,4.4 and up,1,4,3.3,0
MLB Ballpark,"1,000,000+",Free,Everyone,Sports,4.2 and up,5510,3.9,32,0
MLB Ballpark,"1,000,000+",Free,Everyone,Sports,4.2 and up,5510,3.9,32,0
AV HD Video Player,"1,000+",Free,Everyone,Entertainment,4.4 and up,6,3.8,23,0
EO SA Benefits,10+,Free,Everyone,Business,2.3.3 and up,0,,0.518,0
Mad Skills Motocross,"1,000,000+",Free,Everyone,Racing,2.0 and up,32522,4,44,0
Volvo CE Insider,"1,000+",Free,Everyone,Business,4.0.3 and up,45,4.2,24,0
Zombie Tsunami,"100,000,000+",Free,Everyone 10+,Arcade,Varies with device,4921409,4.4,,0
Zombie Tsunami,"100,000,000+",Free,Everyone 10+,Arcade,Varies with device,4921409,4.4,,0
Zombie Tsunami,"100,000,000+",Free,Everyone 10+,Arcade,Varies with device,4921409,4.4,,0
Zombie Tsunami,"100,000,000+",Free,Everyone 10+,Arcade,Varies with device,4921409,4.4,,0
Zombie Tsunami,"100,000,000+",Free,Everyone 10+,Arcade,Varies with device,4921409,4.4,,0
Fill 'er Up,"5,000+",Free,Everyone,Travel & Local,1.6 and up,58,3.2,0.018,0
"edX - Online Courses by Harvard, MIT & more","1,000,000+",Free,Everyone 10+,Education,4.1 and up,32381,4.6,10,0
"edX - Online Courses by Harvard, MIT & more","1,000,000+",Free,Everyone 10+,Education,4.1 and up,32381,4.6,10,0
Cy-Fair Christian Church,100+,Free,Everyone,Lifestyle,4.1 and up,2,5,9.3,0
Children Educational Game Full,"1,000+",Paid,Everyone,Educational;Education,Varies with device,30,4.7,,7.49
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,"100,000,000+",Free,Mature 17+,Action,Varies with device,7672495,4.6,,0
F.A Sumon songs,"1,000+",Free,Everyone,Entertainment,4.1 and up,6,,5.4,0
Larry H Miller Automotive,"10,000+",Free,Everyone,Productivity,4.0.3 and up,67,3.1,8.3,0
My Truck,"10,000+",Free,Everyone,Tools,4.2 and up,247,2.5,8.2,0
EM Launcher for EMUI,"500,000+",Free,Everyone,Personalization,4.1 and up,3175,4.1,2.3,0
Android Messages,"100,000,000+",Free,Everyone,Communication,Varies with device,781810,4.2,,0
Android Messages,"100,000,000+",Free,Everyone,Communication,Varies with device,781810,4.2,,0
Beauty Rental Shop,"100,000+",Free,Everyone,Simulation,4.4 and up,11480,4.6,93,0
Hill Climb Racing,"100,000,000+",Free,Everyone,Racing,4.2 and up,8923847,4.4,63,0
Hill Climb Racing,"100,000,000+",Free,Everyone,Racing,4.2 and up,8923847,4.4,63,0
Hill Climb Racing,"100,000,000+",Free,Everyone,Racing,4.2 and up,8923847,4.4,63,0
Hill Climb Racing,"100,000,000+",Free,Everyone,Racing,4.2 and up,8923847,4.4,63,0
Wallpapers DAF CF 85 Trucks,10+,Free,Teen,Personalization,4.1 and up,0,,16,0
"Sticker Camera - Selfie Filters, Beauty Camera","500,000+",Free,Everyone,Beauty,4.0.3 and up,2277,3.9,22,0
Events High - Meet Your City!,"100,000+",Free,Everyone 10+,Events,Varies with device,3200,4.2,,0
Asana: organize team projects,"1,000,000+",Free,Everyone,Business,5.0 and up,20815,4.3,10,0
Asana: organize team projects,"1,000,000+",Free,Everyone,Business,5.0 and up,20815,4.3,10,0
TextNow - free text + calls,"10,000,000+",Free,Everyone,Social,Varies with device,441189,4.4,,0
TextNow - free text + calls,"10,000,000+",Free,Everyone,Social,Varies with device,441189,4.4,,0
EI!,10+,Free,Everyone,Productivity,4.1 and up,0,,7.7,0
Flipkart Online Shopping App,"100,000,000+",Free,Teen,Shopping,Varies with device,6003590,4.4,,0
Flipkart Online Shopping App,"100,000,000+",Free,Teen,Shopping,Varies with device,6003590,4.4,,0
Google Photos,"1,000,000,000+",Free,Everyone,Photography,Varies with device,10858556,4.5,,0
Google Photos,"1,000,000,000+",Free,Everyone,Photography,Varies with device,10858556,4.5,,0
Google Photos,"1,000,000,000+",Free,Everyone,Photography,Varies with device,10858556,4.5,,0
Google Photos,"1,000,000,000+",Free,Everyone,Photography,Varies with device,10858556,4.5,,0
Run with Map My Run,"5,000,000+",Free,Everyone,Health & Fitness,5.0 and up,183669,4.5,57,0
Run with Map My Run,"5,000,000+",Free,Everyone,Health & Fitness,5.0 and up,183669,4.5,57,0
Run with Map My Run,"5,000,000+",Free,Everyone,Health & Fitness,5.0 and up,183669,4.5,57,0
Quotes,"10,000+",Free,Everyone,Libraries & Demo,4.0.3 and up,58,4.4,15,0
Clash of Clans,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,44891723,4.6,98,0
Clash of Clans,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,44891723,4.6,98,0
Clash of Clans,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,44891723,4.6,98,0
Clash of Clans,"100,000,000+",Free,Everyone 10+,Strategy,4.1 and up,44891723,4.6,98,0
The CW,"5,000,000+",Free,Teen,Entertainment,4.4 and up,288150,4.4,21,0
The CW,"5,000,000+",Free,Teen,Entertainment,4.4 and up,288150,4.4,21,0
The CW,"5,000,000+",Free,Teen,Entertainment,4.4 and up,288150,4.4,21,0
The CW,"5,000,000+",Free,Teen,Entertainment,4.4 and up,288150,4.4,21,0
Calorie Counter - EasyFit free,"1,000,000+",Free,Everyone,Health & Fitness,4.1 and up,50294,4.7,11,0
Citibanamex Movil,"5,000,000+",Free,Everyone,Finance,5.0 and up,52306,3.6,42,0
BJ Bridge Acol Beginner 2018,"5,000+",Free,Everyone,Card,4.0 and up,11,3.7,4.8,0
News360: Personalized News,"1,000,000+",Free,Teen,News & Magazines,Varies with device,30722,4.4,,0
U Camera : Phone 6s OS 9 style,"500,000+",Free,Everyone,Photography,4.0 and up,2158,4.2,3,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Duolingo: Learn Languages Free,"100,000,000+",Free,Everyone,Education;Education,Varies with device,6290507,4.7,,0
Check Vehicle Tax,"10,000+",Free,Everyone,Auto & Vehicles,4.4 and up,295,3.9,2.7,0
Learn Basic C - For Beginners,"5,000+",Free,Everyone,Education,3.0 and up,27,4.7,0.772,0
FR Calculator,500+,Free,Everyone,Education,4.1 and up,7,4,2.6,0
Motocross Fun Simulator,"1,000,000+",Free,Everyone,Simulation,2.3.3 and up,22570,3.8,35,0
Live Talk - Free Text and Video Chat,"10,000+",Free,Mature 17+,Dating,4.0.3 and up,185,4.6,5,0
Live Talk - Free Text and Video Chat,"10,000+",Free,Mature 17+,Dating,4.0.3 and up,185,4.6,5,0
In to cm,10+,Free,Everyone,Tools,4.0.3 and up,0,,2.3,0
GO Weather EX Theme White,"500,000+",Free,Everyone,Weather,2.2 and up,8723,4.2,4.6,0
Backgrounds HD (Wallpapers),"100,000,000+",Free,Teen,Personalization,Varies with device,2390185,4.6,,0
Backgrounds HD (Wallpapers),"100,000,000+",Free,Teen,Personalization,Varies with device,2390185,4.6,,0
Genius Scan - PDF Scanner,"1,000,000+",Free,Everyone,Business,Varies with device,42492,4.4,,0
Genius Scan - PDF Scanner,"1,000,000+",Free,Everyone,Business,Varies with device,42492,4.4,,0
DS file,"1,000,000+",Free,Everyone,Productivity,4.1 and up,10676,4.1,12,0
DG Smart life,"1,000+",Free,Everyone,Tools,4.1 and up,14,2.1,28,0
Sketchfab,"50,000+",Free,Mature 17+,Entertainment,4.4 and up,906,4.3,9.2,0
DY Fitness,10+,Free,Everyone,Health & Fitness,4.1 and up,0,,43,0
Love Balls,"50,000,000+",Free,Everyone,Puzzle,4.1 and up,360630,4.2,40,0
Love Balls,"50,000,000+",Free,Everyone,Puzzle,4.1 and up,360630,4.2,40,0
Florida Lottery Results,"100,000+",Free,Everyone,News & Magazines,2.3.3 and up,763,4.1,2.2,0
Iqiyi (for tablet),"1,000,000+",Free,Teen,Video Players & Editors,4.0 and up,12764,3.6,25,0
"Free Professional Resume Builder, CV, Cover Letter","50,000+",Free,Everyone,Business,4.0 and up,831,4.2,11,0
"Ginger Keyboard - Emoji, GIFs, Themes & Games","5,000,000+",Free,Everyone,Productivity,4.1 and up,162831,4.4,43,0
"Poly Art: Paint by Sticker, Color by Number Puzzle","100,000+",Free,Everyone,Entertainment;Brain Games,4.1 and up,2100,4.4,,0
AF-STROKE,100+,Paid,Teen,Medical,2.1 and up,5,,0.902,5
Glow Hockey,"100,000,000+",Free,Everyone,Arcade,4.1 and up,1703479,4.1,,0
"sugar, sugar","10,000+",Paid,Everyone,Puzzle,2.3 and up,1405,4.2,9.5,1.2
Simple Habit Meditation,"500,000+",Free,Everyone,Health & Fitness,4.4 and up,11689,4.7,20,0
Simple Habit Meditation,"500,000+",Free,Everyone,Health & Fitness,4.4 and up,11689,4.7,20,0
Faceoff DP Battle App,"1,000+",Free,Everyone,Entertainment,4.4 and up,38,4.8,6.7,0
BTS V LINE Launcher theme,"100,000+",Free,Everyone,Personalization,4.0.3 and up,3283,4.8,3.6,0
HD Camera - silent shutter,"1,000,000+",Free,Everyone,Photography,3.2 and up,26530,4,3.9,0
Kick the Buddy,"50,000,000+",Free,Teen,Action,4.4 and up,1004709,4.3,,0
Kick the Buddy,"50,000,000+",Free,Teen,Action,4.4 and up,1004709,4.3,,0
Kick the Buddy,"50,000,000+",Free,Teen,Action,4.4 and up,1004709,4.3,,0
Kick the Buddy,"50,000,000+",Free,Teen,Action,4.4 and up,1004709,4.3,,0
Calculator Fn,500+,Free,Everyone,Tools,4.0 and up,9,,3.6,0
Restaurantführer Südbaden,"1,000+",Free,Everyone,Travel & Local,4.0 and up,46,4.1,12,0
