app,reviews,rating
F-Secure SAFE,9433,4.3
Speed Camera Detector - Traffic & Speed Alert,138,4.3
DM Adventure,0,
"Ibotta: Cash Back Savings, Rewards & Coupons App",315908,4.5
"Poly Art: Paint by Sticker, Color by Number Puzzle",2100,4.4
Bf Light,6,
DHV accountancy BV,0,
BU Study,7,5
NFL,459795,4.1
YouCam Makeup - Magic Selfie Makeovers,3337952,4.6
Guide to Nikon Df,1,
Events High - Meet Your City!,3200,4.2
Freecell CY,387,4
NetApp CE,0,
"Expedia Hotels, Flights & Car Rental Travel Deals",136626,4.1
CE HPJM 69,2,
Coupons for Burger King,41,4.5
Al-Moazin Lite (Prayer Times),284670,4.6
CB Frequencies FREE!,364,3.1
Ai File Viewer,66,4
Reindeer VPN - Proxy VPN,7339,4.2
Bowmasters,1535084,4.7
Extreme Car Driving Simulator,2251012,4.3
eP Scanner,0,
My Truck,247,2.5
Guide for DB Xenoverse 2,121,4.4
Superhero Doctor 2 -ER Surgery,39647,4
Ay Yıldız Analog Saat,37,
GearBest Online Shopping,245104,4.5
Ain Arabic Kids Alif Ba ta,0,
Ej-buy,2,
Unstoppaball DX,5,4.2
Devise Dz,26,4
Pixxy KWGT,60,4.8
Larry H Miller Automotive,67,3.1
N Launcher - Nougat 7.0,32597,4.4
AccuWeather: Daily Forecast & Live Weather Reports,2052407,4.4
Simple Recipes,3803,4.7
ES Audio Player ( Shortcut ),1236,4.2
Luxury Car Simulator,35989,3.9
BBW Dating & Plus Size Chat,12632,4.4
Sirens Fashion Style Game,2282,4.3
Motorola Camera,219745,3.6
To Do Reminder with Alarm,72161,4.4
Chrome Dev,63576,4.4
Bu Hangi Oyun ?,2,
BTS V LINE Launcher theme,3283,4.8
Redbox,115033,4.1
F.A Sumon songs,6,
Deaf Interpreter,24,3.8
China Town Auto Theft 2,364,4.1
Telstra,4260,3
World Webcams,7896,3.7
"Selfie Camera: Beauty Camera, Photo Editor,Collage",31985,4.7
YouCamp EU,39,3.4
Neon-R (Red),25,4.7
DM security - Dragon Mobile,27,3.9
Météociel,29344,4.5
Discovery K!ds Play! Español,11263,4.2
Fo Fo Fish,5,3.4
Adguard Content Blocker,14491,4.1
App vault,25094,3.4
Bubble Shooter 2,23005,4.3
Punch em,2208,4.1
Wallpapers FN SCAR H,4,5
Hotspot Shield Free VPN Proxy & Wi-Fi Security,1116393,4.2
BR,859,3
Millionaire Match: Rich Singles Dating App,852,3.9
Simple Blood Pressure log,31,3.9
Explore Sedona & Northern AZ,43,3.8
Photo Designer - Write your name with shapes,3632,4.7
GO Weather EX Theme White,8723,4.2
FP Boss,1,
Pony Friends 🦄 - Beepzz racing game for kids,114,4.5
Mad Skills Motocross,32522,4
Archery Physics Objects Destruction Apple shooter,6026,4.5
Morse Machine for Ham Radio,341,4.8
BC Navigator,21,4.4
U Camera : Phone 6s OS 9 style,2158,4.2
YAKALA AY,0,
Toca Builders,3328,4.2
J. Cole Albums (2007-2017),7,4.6
Kids Balloon Pop Game Free 🎈,38021,4.1
Color CL,2,5
Calculator Fn,9,
Score! Hero,5419676,4.6
CW BLE Peripheral Simulator,2,
Flexiroam X,875,4
Daily Horoscope,407589,4.7
Virtual Brain Surgery Simulator : Kid ER Emergency,20,3.8
BU HANGİ ŞARKI ? - 2018,4,
BS Play,56,3.7
"SayHi Chat, Meet New People",423138,4.2
Tasker,43045,4.6
Nova Launcher,1121805,4.6
Theme for Galaxy Note FE Launcher | Live Wallpaper,2,
EB Annual Meetings,11,3.5
Fill 'er Up,58,3.2
BT Find Address for Bluetooth,8,4.8
BM speed test,1,5
AL.com: Alabama Football News,459,4.5
DS finder,2596,4
AAS-IN-ASIA 2018,3,
News.aw,1,
The Wall Street Journal: Business & Market News,40975,4.1
Nose Doctor X: Booger Mania,37584,3.2
JackThreads: Men's Shopping,13085,4
Funny Jokes,2505,3.9
Natural recipes for your beauty,1150,4.7
EZ-Placard - Free Placard Calculator,7,2.9
Dr. Chess,97209,4.1
Lottery Results: Florida,582,4.2
Sway Medical,3,5
eBoox: book reader fb2 epub zip,21336,4.7
BN PERKS™,0,
Fodbold DK Pro,315,4.6
HAL-9000 - FN Theme,159,3.5
Hill Climb Racing,8923847,4.4
Pocket U ASW,93,3.9
Kick Axe Bx,0,
X Launcher: With OS11 Style Theme & Control Center,5754,4.7
Geometry Dash SubZero,260527,4.6
CQ: Lost In Transmission,4,4.2
Ultimate Control BT,14,4.6
DG Smart life,14,2.1
Step Counter - Calorie Counter,1577,4
Visage Lab – face retouch,49523,3.5
CJ Apps,0,
Ready4 SAT (Prep4 SAT),13612,4.6
Inches to Centimeters,949,3.6
Dinosaur Simulator: Dino World,26649,4
MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking,599872,4.3
Rosetta Stone: Learn to Speak & Read New Languages,172508,4.5
Genius Scan - PDF Scanner,42492,4.4
CT Cervical Spine,5,5
Manga Rock - Best Manga Reader,238970,4.4
British Columbia Tourist Places (Guide),1,4
50 Healthy Slow Cooker Recipes,196,4
In to cm,0,
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,13469,4
Fast Download Manager,18478,4
Step Counter - Pedometer Free & Calorie Counter,117925,4.7
EZ LED,19,2.2
Text Free: WiFi Calling App,83488,4.2
HD Mickey Minnie Wallpapers,118,4.7
NYTimes - Latest News,63647,3.9
"edX - Online Courses by Harvard, MIT & more",32381,4.6
Run with Map My Run,183669,4.5
Wish - Shopping Made Fun,6210998,4.5
Granny,1138239,4.5
Ulysse Speedometer,40211,4.3
Faceoff DP Battle App,38,4.8
Wuwu & Co.,9,
AG Subway Simulator Lite,6738,4.4
Phoenix - Facebook & Messenger,9606,4.3
Live Hold’em Pro Poker - Free Casino Games,1123190,4.6
Economic Times : Market News,93708,4.3
Learn JavaScript,25183,4.6
FR Calculator,7,4
Duaa Ek Ibaadat,122,4.9
CD Supply,0,
BD Field Force,41,4.2
► MultiCraft ― Free Miner! 👍,1305050,4.3
C4droid - C/C++ compiler & IDE,2890,4.7
Calorie Counter - EasyFit free,50294,4.7
Deus Ex GO,9699,4.5
Allsetra B.V.,15,4.1
ARK: Survival Evolved,51523,3.8
EC Sampler,0,
FBReader: Favorite Book Reader,203130,4.5
Offroad Car G,64884,4.3
Florida Lottery Results,763,4.1
The Washington Post Classic,23158,4.5
MYTO CZ,30,2.9
Skiplagged — Exclusive Flights & Hotels,10035,4.6
Axe Throw: Flip Champ Axes Champion Throwing Games,1,
AV HD Video Player,6,3.8
Simple Habit Meditation,11689,4.7
Pink Silver Bow Keyboard Theme,1120,4.2
Snapchat,17014705,4
DN Premium Hookah Lounge,1,
Thomas & Friends: Delivery,28737,4.2
Human Anatomy Atlas 2018: Complete 3D Human Body,2923,4.5
Hello Kitty Nail Salon,369378,4.2
Fast like a Fox,104389,4.3
Dz kayas,0,
O-Star,59,4.4
EZ game screen recorder with audio 1080P,40,4.1
C.B. Shop,19,
Dungeons and Dragons DM Tools,50,3.1
BW-Joseki,705,4.7
Motocross Fun Simulator,22570,3.8
Dr. Rocket,42182,4
News360: Personalized News,30722,4.4
Wallpapers AK 12,0,
QuickShortcutMaker,41000,4.6
BLACKJACK!,524467,4.4
"sugar, sugar",1405,4.2
Mini DAYZ: Zombie Survival,94661,4.1
Shadow Fight 2,10979062,4.6
"Zapya - File Transfer, Sharing",387958,4.6
Credit Sesame,25166,4.3
Citibanamex Movil,52306,3.6
Despegar.com Hotels and Flights,150932,4.4
Itau bank,957973,4.2
DC Super Hero Girls™,43055,4.3
English Hindi Dictionary,384368,4.4
Car Driving Simulator Citroen,174,3.8
"CM Flashlight (Compass, SOS)",166363,4.4
"Sticker Camera - Selfie Filters, Beauty Camera",2277,3.9
EW Widgets for Zooper,5,3.4
Future Cloud,1075,4.6
HD Themes Toyota Cruiser70,0,
BJ Bridge Acol Beginner 2018,11,3.7
To Do List,253155,4.7
Photo Lock App - Hide Pictures & Videos,29203,4.5
Paprika Recipe Manager,1268,4.1
BJ-DRONE,1,
D.N. College Meerut,0,
Skyscanner,481546,4.5
Check Vehicle Tax,295,3.9
Zombie Tsunami,4921409,4.4
Barisal University App-BU Face,100,5
Smart Launcher 5,512106,4.4
Room Creator Interior Design,59660,3.9
Love Balls,360630,4.2
Bubble,31621,4.5
FP Runner,38,3.7
E.U. Trademark Search Tool,0,
10 WPM Amateur ham radio CW Morse code trainer,10,3.5
X Construction,18612,4.5
Profile Tracker - Who Viewed My Facebook Profile,37090,4.7
Anime Avatar Creator: Make Your Own Avatar,10944,4.2
Safety stepping stone,4212,3.7
Wondershare PowerCam,329160,4.2
EY TaxLaw NL,9,
EI!,0,
"Resume Maker:Free CV Maker,Templates Builder",715,4.2
Cardboard,130287,4.2
Profile Pictures - Best DP Status,131,4.3
CL Strength,3,5
Barcelona Wallpaper HD,93,4.5
Tennis Temple - Live Scores,5305,4.6
AAFP,63,3.8
Diary with lock,815280,4.6
Backgrounds HD (Wallpapers),2390185,4.6
TextNow - free text + calls,441189,4.4
Restaurantführer Südbaden,46,4.1
EY EMEIA Diversity & Inclusion,4,
DY Fitness,0,
FH Dortmund FB4,40,
Super Jim Jump - pixel 3d,10434,4.5
The Simpsons™: Tapped Out,636995,4.3
OpenVPN Connect – Fast & Safe SSL VPN Client,154578,4.2
Live Talk - Free Text and Video Chat,185,4.6
Ovia Parenting & Baby Development Tracker,6185,4.7
OK K.O.! Lakewood Plaza Turbo,76608,4.5
Sya9a Maroc - FR,38,4.5
Space Coast CU Mobile,922,3.8
tökr,17,4.6
Plants vs. Zombies FREE,4064868,4.4
AK-47 Sounds,656,3.9
Diário Escola Mestres EF,11,
Golden Dictionary (FR-AR),5775,4.2
"IndiaMART: Search Products, Buy, Sell & Trade",207372,4.5
Adventure Quest World Mobile Quiz,28,4.6
Capitec Remote Banking,20672,4.3
Animal Planet GO,2442,4.2
Asana: organize team projects,20815,4.3
BG Blurry HD Wallpapers,1,
E2CR CL,0,
Who,2451093,4.3
Learn C Programming (Examples) (OFFLINE),43,4.3
Volvo CE Insider,45,4.2
Smart AppLock (App Protect),137562,4.4
AK Blackjack,4,
"Bleacher Report: sports news, scores, & highlights",122280,4.4
Beauty Tips - Beauty Tips in Sinhala,75,4.4
FD CANNECT,1,
Seen,118285,4.5
RetroArch,21423,3.8
Driver Permit Test Prep DC DMV Driver's License Ed,78,4.7
Sketchfab,906,4.3
Tech CU Card Manager,2,1
JW Library,922752,4.9
HOLSTON EC,7,4.1
DW Audio,38,4.9
Offroad G-Class 2018,7715,4.4
3D Holograms Joke,31596,2.9
Zombie Catchers,990663,4.7
WhatsApp Messenger,69119316,4.4
Dr. Parker : Parking Simulator,14253,4.5
AP Chemistry Prep: Practice Tests and Flashcards,55,4.7
Culver's,1638,3.9
"Grow Stone Online : 2d pixel RPG, MMORPG game",84389,4.7
Command & Conquer: Rivals,0,
Learn Basic C - For Beginners,27,4.7
Of the wall Arapaho bk,0,
Flipkart Online Shopping App,6003590,4.4
FreedomPop Messaging Phone/SIM,9894,3.6
Aab e Hayat Full Novel,1476,4.3
Quiz CS:GO players,460,4.4
BG TV Program,1,
HD Camera - silent shutter,26530,4
"Ginger Keyboard - Emoji, GIFs, Themes & Games",162831,4.4
EURES - Your Job in Europe,358,2.7
Freedom Christian BF,0,
Monster High™,66661,4.1
Fate GO Ap Counter,70,4.6
Familyfirst Messenger,1,4
AE Solitaire,1776,4.3
Simple Gallery,28030,4.5
AF-STROKE,5,
BJ Bridge Standard American 2018,1,1
DB BAHN,4,
AJ Tracey Music and Lyrics,0,
Nursing Central,168,4.3
Moonlight GO Weather EX,11510,4.2
"Free Professional Resume Builder, CV, Cover Letter",831,4.2
KakaoTalk: Free Calls & Text,2546549,4.3
Iqiyi (for tablet),12764,3.6
Sniper 3D Gun Shooter: Free Shooting Games - FPS,7672495,4.6
Wrestling Revolution 3D,989344,4.3
Instant Buttons: The Best Soundboard,157322,4.5
X Home Bar - Home Bar Gesture Pro,88,4
Children Educational Game Full,30,4.7
Garena Free Fire,5476569,4.5
Yahoo Fantasy Sports - #1 Rated Fantasy App,277904,4.2
Duolingo: Learn Languages Free,6290507,4.7
Talking Ben the Dog,1633682,4.3
Anime et Manga Amino en Français,3782,4.8
Beauty Rental Shop,11480,4.6
BEBONCOOL GAMEPAD V1.0,404,3.9
Guide for IMS DB,0,
Al'Quran Bahasa Indonesia,361780,4.6
Camera360: Selfie Photo Editor with Funny Sticker,4865132,4.3
Android P Launcher 9.0 launcher,164,4
Docs To Go™ Free Office Suite,217730,4.1
FL Drone 2,41,3.3
Quran for All (Al-Huda Int.),6696,4.8
The CW,288150,4.4
Clash of Clans,44891723,4.6
CheckPoints 🏆 Rewards App,23187,4.1
Dubsmash,1971777,4.2
Crazy Bike attack Racing New: motorcycle racing,20364,4.2
Nature Sounds,28588,4.8
FollowMyHealth®,73118,4.6
BAMMS for BM 1Park,7,
CU of Colorado Mobile Banking,347,4
CB Martial Arts,0,
Cute Pet Puppies,10447,4
EXO-L Amino for EXO Fans,5677,4.9
AJ Turquoise Dark Icon Pack,0,
BU Syllabus,38,4.5
DS file,10676,4.1
BR Ambedkar Biography & Quotes,156,4.6
"Borneo Bible, BM Bible",659,4.9
EM Launcher for EMUI,3175,4.1
EO SA Benefits,0,
Helix Jump,1498648,4.2
DW - Breaking World News,17671,4.4
What's Up,23453,4.1
Learn C++,73404,4.6
VAT Checker for EU company,78,4.7
EB Scanner,9,5
Sweet Camera,71898,4.4
EB Events,97,3.3
Ultimate Notepad,10643,4
Baby Monitor AV,1434,3.3
Pregcy Tracker & Countdown to Baby Due Date,658087,4.7
Quotes,58,4.4
Dr. Panda Supermarket,1357,4.2
Meritrust CU Mobile Banking,3661,4.7
Cerebral Palsy,38,4.4
বাংলা টিভি প্রো BD Bangla TV,193,4.3
Glow Hockey,1703479,4.1
"Apartment List: Housing, Apt, and Property Rentals",8481,4.5
DB Transport,179,1.9
LinkedIn Learning: Online Courses to Learn Skills,7973,4.6
Run R Script - Online Statistical Data Analysis,8,3.9
Mukwonago AH,1,
bp e-store,52,4.4
BT Speed,3,
MLB Ballpark,5510,3.9
Spine- The dating app,5,5
Google Assistant,58675,4.2
Funny Ringtones,7146,4.4
"KVAD Camera +: Selfie, Photo Filter, Grids",23440,4.1
"3D Color by Number: Voxel, Unicorn, Pixel Art 3D",2017,4.3
WannaMeet – Dating & Chat App,6701,4.1
Inbox.eu,98,3.7
Dete.bg,0,
Tablet Reminder,4,5
Story Saver for Instagram,41331,4.5
Podcast Republic - Podcast Player & Radio Player,66978,4.5
EF Events,7,5
Five Nights at Freddy's 4,21266,4.6
Adobe Illustrator Draw,65766,4.4
realcommercial.com.au,128,4.4
Microsoft OneDrive,1038306,4.4
Doomsday Preppers™,137167,4.2
Shopkins World!,169609,4.3
Paint By Number,807,3.5
Depths of Betrayal CE (Full),363,4.3
Wherever BQ,7,
Find My Friends,305367,4.2
Monster Park AR - Jurassic Dinosaurs in Real World,128,3.7
Facebook,78158306,4.1
TAXLANDIA,141,1.9
signály.cz,38,
Garden Fever - Free!,13253,3.9
Find Real Love — YouLove Premium Dating,212626,4.5
CX-10DS,12,3.4
CSHS BX,0,
Open Heart Surgery Hospital ER: Crazy Doctor Sim,7,4.7
BankMobile Vibe App,14627,4.3
QR Scanner & Barcode Scanner 2018,8211,3.8
boattheory.ch Full 2018,54,4.7
Tubi TV - Free Movies & TV,296771,4.3
Telemundo Deportes - En Vivo,36255,4.5
Guns'n'Glory Premium,3570,4.4
Sic Bo,1,
Learn to Speak English,33646,4.4
FK Zemun,3,
"Women""s Health Tips(Breast,Face,Body,weight lose)",2509,4.2
Wallpapers DAF CF 85 Trucks,0,
Mad Day - Truck Distance Game,29270,4.3
DEER HUNTER 2018,955614,4.3
Throw Knife,291,3.7
Golf Channel,19230,4.1
Myntra Online Shopping App,1315242,4.3
Colorfit - Drawing & Coloring,20260,4.7
Safe365 – Cell Phone GPS Locator For Your Family,11501,4.4
Sun & Moon AR Locator,115,3.3
FD Fitness,3,
