title,runtime,metascore,rating,genre
Rock Dog,90,48,5.8,comedy
Terminator Genisys,126,38,6.5,action
Percy Jackson & the Olympians: The Lightning Thief,118,47,5.9,other
Les Misérables,158,63,7.6,drama
Children of Men,109,84,7.9,drama
20th Century Women,119,83,7.4,comedy
Spy,119,75,7.1,action
The Intouchables,112,57,8.6,comedy
Bonjour Anne,92,50,4.9,comedy
Kynodontas,94,73,7.3,drama
Straight Outta Compton,147,72,7.9,drama
The Amazing Spider-Man 2,142,53,6.7,action
The Conjuring,112,68,7.5,other
The Hangover,100,73,7.8,comedy
Battleship,131,41,5.8,action
Rise of the Planet of the Apes,105,68,7.6,action
Lights Out,81,58,6.4,other
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,118,76,7.1,drama
Birdman or (The Unexpected Virtue of Ignorance),119,88,7.8,comedy
Black Swan,108,79,8,drama
Dear White People,108,79,6.2,comedy
Nymphomaniac: Vol. I,117,64,7,drama
Teenage Mutant Ninja Turtles: Out of the Shadows,112,40,6,action
Knock Knock,99,53,4.9,drama
Dirty Grandpa,102,18,6,comedy
Cloud Atlas,172,55,7.5,drama
X-Men Origins: Wolverine,107,40,6.7,action
Satanic,85,,3.7,other
Skyfall,143,81,7.8,action
The Hobbit: An Unexpected Journey,169,58,7.9,other
21 Jump Street,110,69,7.2,action
Sing Street,106,79,8,comedy
Ballerina,89,,6.8,comedy
Oblivion,124,54,7,action
22 Jump Street,112,71,7.1,action
Zodiac,157,78,7.7,drama
Everybody Wants Some!!,117,83,7,comedy
Iron Man Three,130,62,7.2,action
Now You See Me,115,50,7.3,other
Sherlock Holmes,128,57,7.6,action
Death Proof,113,,7.1,other
The Danish Girl,119,66,7,drama
Hercules,98,47,6,action
Sucker Punch,110,33,6.1,action
Keeping Up with the Joneses,105,34,5.8,action
Jupiter Ascending,127,40,5.3,action
Masterminds,95,47,5.8,action
Iris,99,,6.1,other
Busanhaeng,118,72,7.5,action
Pitch Perfect,112,66,7.2,comedy
Neighbors 2: Sorority Rising,92,58,5.7,comedy
The Exception,107,,7.7,drama
Man of Steel,143,55,7.1,action
The Choice,111,26,6.6,drama
Ice Age: Collision Course,94,34,5.7,comedy
The Devil Wears Prada,109,62,6.8,comedy
The Infiltrator,127,66,7.1,drama
There Will Be Blood,158,92,8.1,drama
The Equalizer,132,57,7.2,action
Lone Survivor,121,60,7.5,action
The Cabin in the Woods,95,72,7,other
The House Bunny,97,55,5.5,comedy
She's Out of My League,104,46,6.4,comedy
Inherent Vice,148,81,6.7,comedy
Alice Through the Looking Glass,113,34,6.2,other
Vincent N Roxxy,110,,5.5,drama
The Fast and the Furious: Tokyo Drift,104,45,6,action
How to Be Single,110,51,6.1,comedy
The Blind Side,129,53,7.7,drama
La vie d'Adèle,180,88,7.8,drama
The Babadook,93,86,6.8,drama
The Hobbit: The Battle of the Five Armies,144,59,7.4,other
Harry Potter and the Order of the Phoenix,138,71,7.5,other
Snowpiercer,126,84,7,action
The 5th Wave,112,33,5.2,action
The Stakelander,81,,5.3,action
The Visit,94,55,6.2,comedy
Fast Five,131,66,7.3,action
Step Up,104,48,6.5,drama
Lovesong,84,74,6.4,drama
RocknRolla,114,53,7.3,action
In Time,109,53,6.7,action
The Social Network,120,95,7.7,drama
The Last Witch Hunter,106,34,6,action
Victor Frankenstein,110,36,6,drama
A Street Cat Named Bob,103,54,7.4,comedy
Green Room,95,79,7,other
Blackhat,133,51,5.4,drama
Storks,87,56,6.9,comedy
American Sniper,133,72,7.3,action
Dallas Buyers Club,117,84,8,drama
Lincoln,150,86,7.4,drama
Rush,123,75,8.1,action
Before I Wake,97,,6.1,drama
Silver Linings Playbook,122,81,7.8,comedy
Tracktown,88,64,5.9,drama
The Fault in Our Stars,126,69,7.8,drama
Blended,117,31,6.5,comedy
Fast & Furious,107,46,6.6,action
Looper,119,84,7.4,action
White House Down,131,52,6.4,action
Pete's Dragon,102,71,6.8,other
Spider-Man 3,139,59,6.2,action
The Three Musketeers,110,35,5.8,action
Stardust,127,66,7.7,other
American Hustle,138,90,7.3,drama
Jennifer's Body,102,47,5.1,comedy
Midnight in Paris,94,81,7.7,comedy
Lady Macbeth,89,83,7.3,drama
Joy,124,56,6.6,drama
The Dressmaker,119,47,7.1,comedy
Café Society,96,64,6.7,comedy
Insurgent,119,42,6.3,other
Seventh Son,102,30,5.5,action
Demain tout commence,118,,7.4,comedy
The Theory of Everything,123,72,7.7,drama
This Is the End,107,67,6.6,comedy
About Time,123,55,7.8,comedy
Step Brothers,98,51,6.9,comedy
Clown,100,42,5.7,other
Star Trek Into Darkness,132,72,7.8,action
Zombieland,88,73,7.7,comedy
"Hail, Caesar!",106,72,6.3,comedy
Slumdog Millionaire,120,86,8,drama
The Twilight Saga: Breaking Dawn - Part 2,115,52,5.5,drama
American Wrestler: The Wizard,117,,6.9,drama
The Amazing Spider-Man,136,66,7,action
Ben-Hur,123,38,5.7,action
Sleight,89,62,6,action
The Maze Runner,113,57,6.8,action
Criminal,113,36,6.3,action
Wanted,110,64,6.7,action
Florence Foster Jenkins,111,71,6.9,comedy
Collide,99,33,5.7,action
Black Mass,123,68,6.9,drama
Creed,133,82,7.6,drama
Swiss Army Man,97,64,7.1,comedy
The Expendables 3,126,35,6.1,action
What We Do in the Shadows,86,76,7.6,comedy
Southpaw,124,57,7.4,drama
Hush,81,67,6.6,other
Bridge of Spies,142,81,7.6,drama
The Lego Movie,100,83,7.8,action
Everest,121,64,7.1,action
Pixels,105,27,5.6,action
Robin Hood,140,53,6.7,action
The Wolverine,126,60,6.7,action
John Carter,132,51,6.6,action
Keanu,100,63,6.3,action
The Gunman,115,39,5.8,action
Steve Jobs,122,82,7.2,drama
Whisky Galore,98,43,5,comedy
Grown Ups 2,101,19,5.4,comedy
The Age of Adaline,112,51,7.2,drama
The Incredible Hulk,112,61,6.8,action
Couples Retreat,113,23,5.5,comedy
Absolutely Anything,85,31,6,comedy
Magic Mike,110,72,6.1,comedy
Minions,91,56,6.4,action
The Black Room,91,71,3.9,other
Bronson,92,,7.1,action
Despicable Me,95,72,7.7,comedy
The Best of Me,118,29,6.7,drama
The Invitation,100,74,6.7,drama
Zero Dark Thirty,157,95,7.4,drama
Tangled,100,71,7.8,comedy
The Hunger Games: Mockingjay - Part 2,137,65,6.6,action
Vacation,99,34,6.1,comedy
Taken,93,50,7.8,action
Pitch Perfect 2,115,63,6.5,comedy
Monsters University,104,65,7.3,comedy
Elle,130,89,7.2,drama
Mechanic: Resurrection,98,38,5.6,action
Tusk,102,55,5.4,comedy
The Headhunter's Calling,108,85,6.9,drama
Atonement,123,,7.8,drama
Harry Potter and the Deathly Hallows: Part 1,146,65,7.7,other
Shame,101,72,7.2,drama
Hanna,111,65,6.8,action
The Babysitters,88,35,5.7,drama
Pride and Prejudice and Zombies,108,45,5.8,action
300: Rise of an Empire,102,48,6.2,action
London Has Fallen,99,28,5.9,action
The Curious Case of Benjamin Button,166,70,7.8,drama
Sin City: A Dame to Kill For,102,46,6.5,action
The Bourne Ultimatum,115,85,8.1,action
Srpski film,104,55,5.2,other
The Purge: Election Year,109,,6,action
3 Idiots,170,67,8.4,comedy
Zoolander 2,102,34,4.7,comedy
World War Z,116,63,7,action
Mission: Impossible - Ghost Protocol,132,73,7.4,action
Let Me Make You a Martyr,102,56,6.4,action
Filth,97,,7.1,comedy
The Longest Ride,123,33,7.1,drama
The imposible,114,73,7.6,drama
Kick-Ass 2,103,41,6.6,action
Folk Hero & Funny Guy,88,63,5.6,comedy
Oz the Great and Powerful,130,44,6.3,other
Brooklyn,117,87,7.5,drama
Coraline,100,80,7.7,other
Blue Valentine,112,81,7.4,drama
The Thinning,81,31,6,other
Silent Hill,125,,6.6,other
Dredd,95,59,7.1,action
Hunt for the Wilderpeople,101,81,7.9,comedy
Big Hero 6,102,74,7.8,action
Carrie,100,53,5.9,drama
Iron Man 2,124,57,7,action
Demolition,101,49,7,comedy
Pandorum,108,28,6.8,action
Olympus Has Fallen,119,41,6.5,action
I Am Number Four,109,36,6.1,action
Jagten,115,76,8.3,drama
The Proposal,108,48,6.7,comedy
Get Hard,100,34,6,comedy
Just Go with It,117,33,6.4,comedy
Revolutionary Road,119,69,7.3,drama
The Town,125,74,7.6,drama
The Boy,97,42,6,other
Denial,109,63,6.6,drama
Predestination,97,69,7.5,drama
Goosebumps,103,60,6.3,comedy
Sherlock Holmes: A Game of Shadows,129,48,7.5,action
Salt,100,65,6.4,action
Enemy,91,61,6.9,other
District 9,112,81,8,action
The Other Guys,107,64,6.7,action
American Gangster,157,76,7.8,drama
Marie Antoinette,123,65,6.4,drama
2012,158,49,5.8,action
Harry Potter and the Half-Blood Prince,153,78,7.5,other
Argo,120,86,7.7,drama
Eddie the Eagle,106,54,7.4,comedy
The Lives of Others,137,89,8.5,drama
Pet,94,48,5.7,other
Paint It Black,96,71,8.3,drama
Macbeth,113,71,6.7,drama
Forgetting Sarah Marshall,111,67,7.2,comedy
The Giver,97,47,6.5,drama
Triple 9,115,52,6.3,action
Perfetti sconosciuti,97,43,7.7,comedy
Angry Birds,97,,6.3,action
Moonrise Kingdom,94,84,7.8,comedy
Hairspray,117,81,6.7,comedy
Safe Haven,115,34,6.7,drama
Focus,105,56,6.6,comedy
Ratatouille,111,96,8,comedy
Stake Land,98,66,6.5,drama
The Book of Eli,118,53,6.9,action
Cloverfield,85,64,7,action
Point Break,114,34,5.3,action
Under the Skin,108,78,6.3,drama
I Am Legend,101,65,7.2,drama
Men in Black 3,106,58,6.8,action
Super 8,112,72,7.1,other
Law Abiding Citizen,109,34,7.4,drama
Up,96,88,8.3,comedy
Maze Runner: The Scorch Trials,131,43,6.3,action
Carol,118,95,7.2,drama
Imperium,109,68,6.5,drama
Youth,124,64,7.3,comedy
Mr. Nobody,141,63,7.9,drama
City of Tiny Lights,110,54,5.7,drama
Savages,131,59,6.5,drama
(500) Days of Summer,95,76,7.7,comedy
Movie 43,94,18,4.3,comedy
Gravity,91,96,7.8,drama
The Boy in the Striped Pyjamas,94,55,7.8,drama
Shooter,124,53,7.2,action
The Happening,91,34,5,other
Bone Tomahawk,132,72,7.1,drama
Magic Mike XXL,115,60,5.7,comedy
Easy A,92,72,7.1,comedy
Exodus: Gods and Kings,150,52,6,action
Chappie,120,41,6.9,action
The Hobbit: The Desolation of Smaug,161,66,7.9,other
Half of a Yellow Sun,111,51,6.2,drama
Anthropoid,120,59,7.2,other
The Counselor,117,48,5.3,drama
Viking,133,57,4.7,action
Whiskey Tango Foxtrot,112,,6.6,comedy
Trust,106,60,7,drama
Birth of the Dragon,103,61,3.9,action
Elysium,109,,6.6,action
The Green Inferno,100,38,5.4,other
Godzilla,123,62,6.4,action
The Bourne Legacy,135,61,6.7,action
A Good Year,117,47,6.9,comedy
Friend Request,92,59,5.4,other
Deja Vu,126,,7,action
Lucy,89,61,6.4,action
A Quiet Passion,125,77,7.2,drama
Need for Speed,132,39,6.5,action
Jack Reacher,130,50,7,action
The Do-Over,108,22,5.7,action
True Crimes,92,43,7.3,drama
American Pastoral,108,,6.1,drama
The Ghost Writer,128,77,7.2,other
Limitless,105,59,7.4,other
Spectral,107,39,6.3,action
P.S. I Love You,126,,7.1,drama
Zipper,103,39,5.7,drama
Midnight Special,112,76,6.7,drama
Don't Think Twice,92,83,6.8,comedy
Alice in Wonderland,108,53,6.5,other
Chuck,98,68,6.8,drama
"I, Daniel Blake",100,77,7.9,drama
The Break-Up,106,45,5.8,comedy
Loving,123,79,7.1,drama
Fantastic Four,100,27,4.3,action
The Survivalist,104,80,6.3,drama
Colonia,106,33,7.1,drama
The Boy Next Door,91,30,4.6,other
The Gift,108,77,7.1,other
Dracula Untold,92,40,6.3,action
In the Heart of the Sea,122,47,6.9,action
Idiocracy,84,66,6.6,comedy
The Expendables,103,45,6.5,action
Evil Dead,91,57,6.5,other
Sinister,110,53,6.8,other
Wreck-It Ralph,101,72,7.8,comedy
Snow White and the Huntsman,127,57,6.1,action
Pan,111,36,5.8,other
Transformers: Dark of the Moon,154,42,6.3,action
Juno,96,81,7.5,comedy
A Hologram for the King,98,58,6.1,comedy
Money Monster,98,55,6.5,drama
The Other Woman,109,39,6,comedy
Enchanted,107,75,7.1,comedy
The Intern,121,51,7.1,comedy
Little Miss Sunshine,101,80,7.8,comedy
Bleed for This,117,62,6.8,drama
Clash of the Titans,106,39,5.8,action
The Finest Hours,117,58,6.8,action
Tron,125,49,6.8,action
The Hunger Games: Catching Fire,146,76,7.6,action
All Good Things,101,57,6.3,drama
Kickboxer: Vengeance,90,37,4.9,action
The Last Airbender,103,20,4.2,action
Sex Tape,94,36,5.1,comedy
What to Expect When You're Expecting,110,41,5.7,comedy
Moneyball,133,87,7.6,drama
Ghost Rider,114,35,5.2,action
Unbroken,137,59,7.2,drama
Immortals,110,46,6,action
Sunshine,107,64,7.3,other
Brave,93,69,7.2,comedy
Män som hatar kvinnor,152,76,7.8,drama
Adoration,112,37,6.2,drama
The Drop,106,69,7.1,drama
She's the Man,105,45,6.4,comedy
Daddy's Home,96,42,6.1,comedy
Let Me In,116,79,7.2,drama
Never Back Down,110,39,6.6,action
Grimsby,83,44,6.2,action
Moon,97,67,7.9,drama
Megamind,95,63,7.3,action
Gangster Squad,113,40,6.7,action
Blood Father,88,66,6.4,action
He's Just Not That Into You,129,47,6.4,comedy
Kung Fu Panda 3,95,66,7.2,action
The Rise of the Krays,110,90,5.1,drama
Handsome Devil,95,,7.4,drama
Winter's Bone,100,,7.2,drama
Horrible Bosses,98,57,6.9,comedy
Mommy,139,74,8.1,drama
Hellboy II: The Golden Army,120,78,7,action
Beautiful Creatures,124,52,6.2,drama
Toni Erdmann,162,93,7.6,comedy
The Lovely Bones,135,42,6.7,drama
The Assassination of Jesse James by the Coward Robert Ford,160,68,7.5,drama
Don Jon,90,66,6.6,comedy
Bastille Day,92,48,6.3,action
2307: Winter's Dream,101,53,4,other
Free State of Jones,139,,6.9,action
Mr. Right,95,52,6.3,action
The Secret Life of Walter Mitty,114,54,7.3,comedy
Dope,103,72,7.3,comedy
Underworld Awakening,88,39,6.4,action
Antichrist,108,49,6.6,drama
Friday the 13th,97,34,5.6,other
Taken 3,109,26,6,action
Total Recall,118,43,6.3,action
X-Men: The Last Stand,104,58,6.7,action
The Escort,88,46,6,comedy
The Whole Truth,93,,6.1,drama
Night at the Museum: Secret of the Tomb,98,47,6.2,comedy
Love & Other Drugs,112,55,6.7,comedy
The Interview,112,52,6.6,comedy
The Host,120,85,7,comedy
Megan Is Missing,85,94,4.9,drama
WALL·E,98,,8.4,other
Knocked Up,129,85,7,comedy
Source Code,93,74,7.5,other
Lawless,116,58,7.3,drama
Unfriended,83,59,5.6,drama
American Reunion,113,49,6.7,comedy
The Pursuit of Happyness,117,64,8,drama
Relatos salvajes,122,77,8.1,comedy
The Ridiculous 6,119,18,4.8,comedy
Frantz,113,73,7.5,drama
Viral,85,72,5.5,drama
Gran Torino,116,,8.2,drama
Burnt,101,42,6.6,comedy
Tall Men,133,57,3.2,other
Sleeping Beauty,101,,5.3,drama
Vampire Academy,104,30,5.6,action
Sweeney Todd: The Demon Barber of Fleet Street,116,83,7.4,drama
Solace,101,36,6.4,drama
Insidious,103,52,6.8,other
Popstar: Never Stop Never Stopping,87,68,6.7,comedy
The Levelling,83,82,6.4,drama
Public Enemies,140,70,7,drama
Boyhood,165,100,7.9,drama
Teenage Mutant Ninja Turtles,101,31,5.9,action
Eastern Promises,100,82,7.7,drama
The Daughter,96,62,6.7,drama
Pineapple Express,111,64,7,action
The First Time,95,55,6.9,comedy
Gone Baby Gone,114,72,7.7,drama
The Heat,117,60,6.6,action
L'avenir,102,88,7.1,drama
Anna Karenina,129,63,6.6,drama
Regression,106,32,5.7,drama
Ted 2,115,48,6.3,comedy
Pain & Gain,129,45,6.5,comedy
Blood Diamond,143,64,8,drama
Devil's Knot,114,42,6.1,drama
Child 44,137,41,6.5,drama
The Hurt Locker,131,94,7.6,drama
Green Lantern,114,39,5.6,action
War on Everyone,98,50,5.9,action
The Mist,126,58,7.2,other
Escape Plan,115,49,6.7,action
"Love, Rosie",102,44,7.2,comedy
The DUFF,101,56,6.5,comedy
The Age of Shadows,140,78,7.2,action
The Hunger Games: Mockingjay - Part 1,123,64,6.7,action
We Need to Talk About Kevin,112,68,7.5,drama
Love & Friendship,90,87,6.5,comedy
The Mortal Instruments: City of Bones,130,33,5.9,action
Seven Pounds,123,36,7.7,drama
The King's Speech,118,88,8,drama
Hunger,96,82,7.6,drama
Jumper,88,35,6.1,action
Toy Story 3,103,92,8.3,comedy
Tinker Tailor Soldier Spy,122,85,7.1,drama
Resident Evil: Retribution,96,39,5.4,action
Dear Zindagi,151,56,7.8,drama
Genius,104,,6.5,drama
Pompeii,105,39,5.5,action
Life of Pi,127,79,7.9,drama
Hachi: A Dog's Tale,93,61,8.1,drama
10 Years,100,,6.1,comedy
I Origins,106,57,7.3,drama
Live Free or Die Hard,128,69,7.2,action
The Matchbreaker,94,44,5.5,comedy
Funny Games,111,,6.5,drama
Ted,106,62,7,comedy
RED,111,60,7.1,action
Australia,165,53,6.6,drama
Faster,98,44,6.5,action
The Neighbor,87,60,5.8,other
The Adjustment Bureau,106,,7.1,other
The Hollars,88,53,6.5,comedy
The Judge,141,48,7.4,drama
Closed Circuit,96,50,6.2,drama
Transformers: Revenge of the Fallen,150,35,6,action
La tortue rouge,80,86,7.6,other
The Book of Life,95,67,7.3,comedy
Incendies,131,80,8.2,drama
The Heartbreak Kid,116,46,5.8,comedy
Happy Feet,108,77,6.5,comedy
Entourage,104,38,6.6,comedy
The Strangers,86,47,6.2,other
Noah,138,68,5.8,action
Neighbors,97,68,6.4,comedy
Nymphomaniac: Vol. II,123,60,6.7,drama
Wild,115,76,7.1,drama
Grown Ups,102,30,6,comedy
Blair Witch,89,47,5.1,other
The Karate Kid,140,61,6.2,action
Dark Shadows,113,55,6.2,comedy
Friends with Benefits,109,63,6.6,comedy
The Illusionist,110,68,7.6,drama
The A-Team,117,47,6.8,action
The Guest,100,76,6.7,other
The Internship,119,42,6.3,comedy
Paul,104,57,7,comedy
This Beautiful Fantastic,100,51,6.9,comedy
The Da Vinci Code,149,46,6.6,other
Mr. Church,104,37,7.7,comedy
Hugo,126,83,7.5,drama
The Blackcoat's Daughter,93,68,5.6,other
Body of Lies,128,57,7.1,action
Knight of Cups,118,53,5.7,drama
The Mummy: Tomb of the Dragon Emperor,112,31,5.2,action
The Boss,99,40,5.4,comedy
Hands of Stone,111,54,6.6,action
El secreto de sus ojos,129,80,8.2,drama
True Grit,110,80,7.6,drama
We Are Your Friends,96,46,6.2,drama
A Million Ways to Die in the West,116,44,6.1,comedy
Only for One Night,86,60,4.6,other
Rules Don't Apply,127,,5.7,comedy
