title,action,comedy,drama,runtime,metascore,rating
Shutter Island,0,0,0,138,63,8.1
Brimstone,0,0,0,148,44,7.1
Star Trek,1,0,0,127,82,8
Diary of a Wimpy Kid,0,1,0,94,56,6.2
The Big Short,0,1,1,130,81,7.8
Room,0,0,1,118,86,8.2
Django Unchained,0,0,1,165,81,8.4
Ah-ga-ssi,0,0,1,144,84,8.1
The Edge of Seventeen,0,1,1,104,77,7.4
Watchmen,1,0,1,162,56,7.6
Superbad,0,1,0,113,76,7.6
Inferno,1,0,0,121,42,6.2
The BFG,0,0,0,117,66,6.4
The Hunger Games,0,0,0,142,68,7.2
White Girl,0,0,1,88,65,5.8
Sicario,1,0,1,121,82,7.6
Twin Peaks: The Missing Pieces,0,0,1,91,,8.1
Aliens vs Predator - Requiem,1,0,0,94,29,4.7
Pacific Rim,1,0,0,131,64,7
"Crazy, Stupid, Love.",0,1,1,118,68,7.4
Scott Pilgrim vs. the World,1,1,0,112,69,7.5
Hot Fuzz,1,1,0,121,81,7.9
Mine,0,0,0,106,40,6
Free Fire,1,1,0,90,63,7
X-Men: Days of Future Past,1,0,0,132,74,8
Jack Reacher: Never Go Back,1,0,0,118,47,6.1
Casino Royale,1,0,0,144,80,8
Twilight,0,0,1,122,56,5.2
Now You See Me 2,1,1,0,129,46,6.5
Woman in Gold,0,0,1,109,51,7.3
13 Hours,1,0,1,144,48,7.3
Spectre,1,0,0,148,60,6.8
Nightcrawler,0,0,1,118,76,7.9
Kubo and the Two Strings,0,0,0,101,84,7.9
Beyond the Gates,0,0,0,84,59,5.2
Her,0,0,1,126,90,8
Frozen,0,1,0,102,74,7.5
Tomorrowland,1,0,0,130,60,6.5
Dawn of the Planet of the Apes,1,0,1,130,79,7.6
Tropic Thunder,1,1,0,107,71,7
The Conjuring 2,0,0,0,134,65,7.4
Ant-Man,1,1,0,117,64,7.3
Bridget Jones's Baby,0,1,0,118,59,6.7
The VVitch: A New-England Folktale,0,0,0,92,83,6.8
Cinderella,0,0,1,105,67,7
Realive,0,0,0,112,,5.9
Forushande,0,0,1,124,85,8
Love,0,0,1,135,51,6
Billy Lynn's Long Halftime Walk,0,0,1,113,53,6.3
Crimson Peak,0,0,1,119,66,6.6
Drive,0,0,1,100,78,7.8
Trainwreck,0,1,1,125,75,6.3
The Light Between Oceans,0,0,1,133,60,7.2
Below Her Mouth,0,0,1,94,42,5.6
Spotlight,0,0,1,128,93,8.1
Morgan,0,0,0,92,48,5.8
Warrior,1,0,1,140,71,8.2
Captain America: The First Avenger,1,0,0,124,66,6.9
Hacker,0,0,1,95,,6.3
Into the Wild,0,0,1,148,73,8.1
The Imitation Game,0,0,1,114,73,8.1
Central Intelligence,1,1,0,107,52,6.3
Edge of Tomorrow,1,0,0,113,71,7.9
A Cure for Wellness,0,0,1,146,47,6.5
Snowden,0,0,1,134,58,7.3
Iron Man,1,0,0,126,79,7.9
Allegiant,1,0,0,120,33,5.7
X: First Class,1,0,0,132,65,7.8
Raw (II),0,0,1,99,81,7.5
Paterson,0,1,1,118,90,7.5
Bridesmaids,0,1,0,125,75,6.8
The Girl with All the Gifts,0,0,1,111,67,6.7
San Andreas,1,0,1,114,43,6.1
Spring Breakers,0,0,1,94,63,5.3
Transformers,1,0,0,144,61,7.1
Old Boy,1,0,1,104,49,5.8
Thor: The Dark World,1,0,0,112,54,7
Gods of Egypt,1,0,0,126,25,5.5
Captain America: The Winter Soldier,1,0,0,136,70,7.8
Monster Trucks,1,1,0,104,41,5.7
A Dark Song,0,0,1,100,67,6.1
Kick-Ass,1,1,0,117,66,7.7
Hardcore Henry,1,0,0,96,51,6.7
Cars,0,1,0,117,73,7.1
It Follows,0,0,0,100,83,6.9
The Girl with the Dragon Tattoo,0,0,1,158,71,7.8
We're the Millers,0,1,0,110,44,7
American Honey,0,0,1,163,79,7
The Lobster,0,1,1,119,82,7.1
Predators,1,0,0,107,51,6.4
Maleficent,1,0,0,97,56,7
Rupture,0,0,0,102,35,4.8
Pan's Labyrinth,0,0,1,118,98,8.2
A Kind of Murder,0,0,1,95,50,5.2
Apocalypto,1,0,1,139,68,7.8
Mission: Impossible - Rogue Nation,1,0,0,131,75,7.4
The Huntsman: Winter's War,1,0,1,114,35,6.1
The Perks of Being a Wallflower,0,0,1,102,67,8
Jackie,0,0,1,100,81,6.8
The Disappointments Room,0,0,1,85,31,3.9
The Grand Budapest Hotel,0,1,1,99,88,8.1
The Host,1,0,0,125,35,5.9
Fury,1,0,1,134,64,7.6
Inside Out,0,1,0,95,94,8.2
Rock Dog,0,1,0,90,48,5.8
Terminator Genisys,1,0,0,126,38,6.5
Percy Jackson & the Olympians: The Lightning Thief,0,0,0,118,47,5.9
Les Misérables,0,0,1,158,63,7.6
Children of Men,0,0,1,109,84,7.9
20th Century Women,0,1,1,119,83,7.4
Spy,1,1,0,119,75,7.1
The Intouchables,0,1,1,112,57,8.6
Bonjour Anne,0,1,1,92,50,4.9
Kynodontas,0,0,1,94,73,7.3
Straight Outta Compton,0,0,1,147,72,7.9
The Amazing Spider-Man 2,1,0,0,142,53,6.7
The Conjuring,0,0,0,112,68,7.5
The Hangover,0,1,0,100,73,7.8
Battleship,1,0,0,131,41,5.8
Rise of the Planet of the Apes,1,0,1,105,68,7.6
Lights Out,0,0,0,81,58,6.4
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,0,0,1,118,76,7.1
Birdman or (The Unexpected Virtue of Ignorance),0,1,1,119,88,7.8
Black Swan,0,0,1,108,79,8
Dear White People,0,1,1,108,79,6.2
Nymphomaniac: Vol. I,0,0,1,117,64,7
Teenage Mutant Ninja Turtles: Out of the Shadows,1,1,0,112,40,6
Knock Knock,0,0,1,99,53,4.9
Dirty Grandpa,0,1,0,102,18,6
Cloud Atlas,0,0,1,172,55,7.5
X-Men Origins: Wolverine,1,0,0,107,40,6.7
Satanic,0,0,0,85,,3.7
Skyfall,1,0,0,143,81,7.8
The Hobbit: An Unexpected Journey,0,0,0,169,58,7.9
21 Jump Street,1,1,0,110,69,7.2
Sing Street,0,1,1,106,79,8
Ballerina,0,1,0,89,,6.8
Oblivion,1,0,0,124,54,7
22 Jump Street,1,1,0,112,71,7.1
Zodiac,0,0,1,157,78,7.7
Everybody Wants Some!!,0,1,0,117,83,7
Iron Man Three,1,0,0,130,62,7.2
Now You See Me,0,0,0,115,50,7.3
Sherlock Holmes,1,0,0,128,57,7.6
Death Proof,0,0,0,113,,7.1
The Danish Girl,0,0,1,119,66,7
Hercules,1,0,0,98,47,6
Sucker Punch,1,0,0,110,33,6.1
Keeping Up with the Joneses,1,1,0,105,34,5.8
Jupiter Ascending,1,0,0,127,40,5.3
Masterminds,1,1,0,95,47,5.8
Iris,0,0,0,99,,6.1
Busanhaeng,1,0,1,118,72,7.5
Pitch Perfect,0,1,0,112,66,7.2
Neighbors 2: Sorority Rising,0,1,0,92,58,5.7
The Exception,0,0,1,107,,7.7
Man of Steel,1,0,0,143,55,7.1
The Choice,0,0,1,111,26,6.6
Ice Age: Collision Course,0,1,0,94,34,5.7
The Devil Wears Prada,0,1,1,109,62,6.8
The Infiltrator,0,0,1,127,66,7.1
There Will Be Blood,0,0,1,158,92,8.1
The Equalizer,1,0,0,132,57,7.2
Lone Survivor,1,0,1,121,60,7.5
The Cabin in the Woods,0,0,0,95,72,7
The House Bunny,0,1,0,97,55,5.5
She's Out of My League,0,1,0,104,46,6.4
Inherent Vice,0,1,1,148,81,6.7
Alice Through the Looking Glass,0,0,0,113,34,6.2
Vincent N Roxxy,0,0,1,110,,5.5
The Fast and the Furious: Tokyo Drift,1,0,0,104,45,6
How to Be Single,0,1,0,110,51,6.1
The Blind Side,0,0,1,129,53,7.7
La vie d'Adèle,0,0,1,180,88,7.8
The Babadook,0,0,1,93,86,6.8
The Hobbit: The Battle of the Five Armies,0,0,0,144,59,7.4
Harry Potter and the Order of the Phoenix,0,0,0,138,71,7.5
Snowpiercer,1,0,1,126,84,7
The 5th Wave,1,0,0,112,33,5.2
The Stakelander,1,0,0,81,,5.3
The Visit,0,1,0,94,55,6.2
Fast Five,1,0,0,131,66,7.3
Step Up,0,0,1,104,48,6.5
Lovesong,0,0,1,84,74,6.4
RocknRolla,1,0,0,114,53,7.3
In Time,1,0,0,109,53,6.7
The Social Network,0,0,1,120,95,7.7
The Last Witch Hunter,1,0,0,106,34,6
Victor Frankenstein,0,0,1,110,36,6
A Street Cat Named Bob,0,1,1,103,54,7.4
Green Room,0,0,0,95,79,7
Blackhat,0,0,1,133,51,5.4
Storks,0,1,0,87,56,6.9
American Sniper,1,0,1,133,72,7.3
Dallas Buyers Club,0,0,1,117,84,8
Lincoln,0,0,1,150,86,7.4
Rush,1,0,1,123,75,8.1
Before I Wake,0,0,1,97,,6.1
Silver Linings Playbook,0,1,1,122,81,7.8
Tracktown,0,0,1,88,64,5.9
The Fault in Our Stars,0,0,1,126,69,7.8
Blended,0,1,0,117,31,6.5
Fast & Furious,1,0,0,107,46,6.6
Looper,1,0,1,119,84,7.4
White House Down,1,0,1,131,52,6.4
Pete's Dragon,0,0,0,102,71,6.8
Spider-Man 3,1,0,0,139,59,6.2
The Three Musketeers,1,0,0,110,35,5.8
Stardust,0,0,0,127,66,7.7
American Hustle,0,0,1,138,90,7.3
Jennifer's Body,0,1,0,102,47,5.1
Midnight in Paris,0,1,0,94,81,7.7
Lady Macbeth,0,0,1,89,83,7.3
Joy,0,0,1,124,56,6.6
The Dressmaker,0,1,1,119,47,7.1
Café Society,0,1,1,96,64,6.7
Insurgent,0,0,0,119,42,6.3
Seventh Son,1,0,0,102,30,5.5
Demain tout commence,0,1,1,118,,7.4
The Theory of Everything,0,0,1,123,72,7.7
This Is the End,0,1,0,107,67,6.6
About Time,0,1,1,123,55,7.8
Step Brothers,0,1,0,98,51,6.9
Clown,0,0,0,100,42,5.7
Star Trek Into Darkness,1,0,0,132,72,7.8
Zombieland,0,1,0,88,73,7.7
"Hail, Caesar!",0,1,0,106,72,6.3
Slumdog Millionaire,0,0,1,120,86,8
The Twilight Saga: Breaking Dawn - Part 2,0,0,1,115,52,5.5
American Wrestler: The Wizard,0,0,1,117,,6.9
The Amazing Spider-Man,1,0,0,136,66,7
Ben-Hur,1,0,1,123,38,5.7
Sleight,1,0,1,89,62,6
The Maze Runner,1,0,0,113,57,6.8
Criminal,1,0,1,113,36,6.3
Wanted,1,0,0,110,64,6.7
Florence Foster Jenkins,0,1,1,111,71,6.9
Collide,1,0,0,99,33,5.7
Black Mass,0,0,1,123,68,6.9
Creed,0,0,1,133,82,7.6
Swiss Army Man,0,1,1,97,64,7.1
The Expendables 3,1,0,0,126,35,6.1
What We Do in the Shadows,0,1,0,86,76,7.6
Southpaw,0,0,1,124,57,7.4
Hush,0,0,0,81,67,6.6
Bridge of Spies,0,0,1,142,81,7.6
The Lego Movie,1,0,0,100,83,7.8
Everest,1,0,1,121,64,7.1
Pixels,1,1,0,105,27,5.6
Robin Hood,1,0,1,140,53,6.7
The Wolverine,1,0,0,126,60,6.7
John Carter,1,0,0,132,51,6.6
Keanu,1,1,0,100,63,6.3
The Gunman,1,0,1,115,39,5.8
Steve Jobs,0,0,1,122,82,7.2
Whisky Galore,0,1,0,98,43,5
Grown Ups 2,0,1,0,101,19,5.4
The Age of Adaline,0,0,1,112,51,7.2
The Incredible Hulk,1,0,0,112,61,6.8
Couples Retreat,0,1,0,113,23,5.5
Absolutely Anything,0,1,0,85,31,6
Magic Mike,0,1,1,110,72,6.1
Minions,1,0,0,91,56,6.4
The Black Room,0,0,0,91,71,3.9
Bronson,1,0,0,92,,7.1
Despicable Me,0,1,0,95,72,7.7
The Best of Me,0,0,1,118,29,6.7
The Invitation,0,0,1,100,74,6.7
Zero Dark Thirty,0,0,1,157,95,7.4
Tangled,0,1,0,100,71,7.8
The Hunger Games: Mockingjay - Part 2,1,0,0,137,65,6.6
Vacation,0,1,0,99,34,6.1
Taken,1,0,0,93,50,7.8
Pitch Perfect 2,0,1,0,115,63,6.5
Monsters University,0,1,0,104,65,7.3
Elle,0,0,1,130,89,7.2
Mechanic: Resurrection,1,0,0,98,38,5.6
Tusk,0,1,1,102,55,5.4
The Headhunter's Calling,0,0,1,108,85,6.9
Atonement,0,0,1,123,,7.8
Harry Potter and the Deathly Hallows: Part 1,0,0,0,146,65,7.7
Shame,0,0,1,101,72,7.2
Hanna,1,0,1,111,65,6.8
The Babysitters,0,0,1,88,35,5.7
Pride and Prejudice and Zombies,1,0,0,108,45,5.8
300: Rise of an Empire,1,0,1,102,48,6.2
London Has Fallen,1,0,1,99,28,5.9
The Curious Case of Benjamin Button,0,0,1,166,70,7.8
Sin City: A Dame to Kill For,1,0,0,102,46,6.5
The Bourne Ultimatum,1,0,0,115,85,8.1
Srpski film,0,0,0,104,55,5.2
The Purge: Election Year,1,0,0,109,,6
3 Idiots,0,1,1,170,67,8.4
Zoolander 2,0,1,0,102,34,4.7
World War Z,1,0,0,116,63,7
Mission: Impossible - Ghost Protocol,1,0,0,132,73,7.4
Let Me Make You a Martyr,1,0,1,102,56,6.4
Filth,0,1,1,97,,7.1
The Longest Ride,0,0,1,123,33,7.1
The imposible,0,0,1,114,73,7.6
Kick-Ass 2,1,1,0,103,41,6.6
Folk Hero & Funny Guy,0,1,0,88,63,5.6
Oz the Great and Powerful,0,0,0,130,44,6.3
Brooklyn,0,0,1,117,87,7.5
Coraline,0,0,0,100,80,7.7
Blue Valentine,0,0,1,112,81,7.4
The Thinning,0,0,0,81,31,6
Silent Hill,0,0,0,125,,6.6
Dredd,1,0,0,95,59,7.1
Hunt for the Wilderpeople,0,1,1,101,81,7.9
Big Hero 6,1,0,0,102,74,7.8
Carrie,0,0,1,100,53,5.9
Iron Man 2,1,0,0,124,57,7
Demolition,0,1,1,101,49,7
Pandorum,1,0,0,108,28,6.8
Olympus Has Fallen,1,0,0,119,41,6.5
I Am Number Four,1,0,0,109,36,6.1
Jagten,0,0,1,115,76,8.3
The Proposal,0,1,1,108,48,6.7
Get Hard,0,1,0,100,34,6
Just Go with It,0,1,0,117,33,6.4
Revolutionary Road,0,0,1,119,69,7.3
The Town,0,0,1,125,74,7.6
The Boy,0,0,0,97,42,6
Denial,0,0,1,109,63,6.6
Predestination,0,0,1,97,69,7.5
Goosebumps,0,1,0,103,60,6.3
Sherlock Holmes: A Game of Shadows,1,0,0,129,48,7.5
Salt,1,0,0,100,65,6.4
Enemy,0,0,0,91,61,6.9
District 9,1,0,0,112,81,8
The Other Guys,1,1,0,107,64,6.7
American Gangster,0,0,1,157,76,7.8
Marie Antoinette,0,0,1,123,65,6.4
2012,1,0,0,158,49,5.8
Harry Potter and the Half-Blood Prince,0,0,0,153,78,7.5
Argo,0,0,1,120,86,7.7
Eddie the Eagle,0,1,1,106,54,7.4
The Lives of Others,0,0,1,137,89,8.5
Pet,0,0,0,94,48,5.7
Paint It Black,0,0,1,96,71,8.3
Macbeth,0,0,1,113,71,6.7
Forgetting Sarah Marshall,0,1,1,111,67,7.2
The Giver,0,0,1,97,47,6.5
Triple 9,1,0,1,115,52,6.3
Perfetti sconosciuti,0,1,1,97,43,7.7
Angry Birds,1,0,0,97,,6.3
Moonrise Kingdom,0,1,1,94,84,7.8
Hairspray,0,1,1,117,81,6.7
Safe Haven,0,0,1,115,34,6.7
Focus,0,1,1,105,56,6.6
Ratatouille,0,1,0,111,96,8
Stake Land,0,0,1,98,66,6.5
The Book of Eli,1,0,1,118,53,6.9
Cloverfield,1,0,0,85,64,7
Point Break,1,0,0,114,34,5.3
Under the Skin,0,0,1,108,78,6.3
I Am Legend,0,0,1,101,65,7.2
Men in Black 3,1,1,0,106,58,6.8
Super 8,0,0,0,112,72,7.1
Law Abiding Citizen,0,0,1,109,34,7.4
Up,0,1,0,96,88,8.3
Maze Runner: The Scorch Trials,1,0,0,131,43,6.3
Carol,0,0,1,118,95,7.2
Imperium,0,0,1,109,68,6.5
Youth,0,1,1,124,64,7.3
Mr. Nobody,0,0,1,141,63,7.9
City of Tiny Lights,0,0,1,110,54,5.7
Savages,0,0,1,131,59,6.5
(500) Days of Summer,0,1,1,95,76,7.7
Movie 43,0,1,0,94,18,4.3
Gravity,0,0,1,91,96,7.8
The Boy in the Striped Pyjamas,0,0,1,94,55,7.8
Shooter,1,0,1,124,53,7.2
The Happening,0,0,0,91,34,5
Bone Tomahawk,0,0,1,132,72,7.1
Magic Mike XXL,0,1,1,115,60,5.7
Easy A,0,1,1,92,72,7.1
Exodus: Gods and Kings,1,0,1,150,52,6
Chappie,1,0,1,120,41,6.9
The Hobbit: The Desolation of Smaug,0,0,0,161,66,7.9
Half of a Yellow Sun,0,0,1,111,51,6.2
Anthropoid,0,0,0,120,59,7.2
The Counselor,0,0,1,117,48,5.3
Viking,1,0,1,133,57,4.7
Whiskey Tango Foxtrot,0,1,1,112,,6.6
Trust,0,0,1,106,60,7
Birth of the Dragon,1,0,1,103,61,3.9
Elysium,1,0,1,109,,6.6
The Green Inferno,0,0,0,100,38,5.4
Godzilla,1,0,0,123,62,6.4
The Bourne Legacy,1,0,0,135,61,6.7
A Good Year,0,1,1,117,47,6.9
Friend Request,0,0,0,92,59,5.4
Deja Vu,1,0,0,126,,7
Lucy,1,0,0,89,61,6.4
A Quiet Passion,0,0,1,125,77,7.2
Need for Speed,1,0,1,132,39,6.5
Jack Reacher,1,0,0,130,50,7
The Do-Over,1,1,0,108,22,5.7
True Crimes,0,0,1,92,43,7.3
American Pastoral,0,0,1,108,,6.1
The Ghost Writer,0,0,0,128,77,7.2
Limitless,0,0,0,105,59,7.4
Spectral,1,0,0,107,39,6.3
P.S. I Love You,0,0,1,126,,7.1
Zipper,0,0,1,103,39,5.7
Midnight Special,0,0,1,112,76,6.7
Don't Think Twice,0,1,1,92,83,6.8
Alice in Wonderland,0,0,0,108,53,6.5
Chuck,0,0,1,98,68,6.8
"I, Daniel Blake",0,0,1,100,77,7.9
The Break-Up,0,1,1,106,45,5.8
Loving,0,0,1,123,79,7.1
Fantastic Four,1,0,0,100,27,4.3
The Survivalist,0,0,1,104,80,6.3
Colonia,0,0,1,106,33,7.1
The Boy Next Door,0,0,0,91,30,4.6
The Gift,0,0,0,108,77,7.1
Dracula Untold,1,0,1,92,40,6.3
In the Heart of the Sea,1,0,0,122,47,6.9
Idiocracy,0,1,0,84,66,6.6
The Expendables,1,0,0,103,45,6.5
Evil Dead,0,0,0,91,57,6.5
Sinister,0,0,0,110,53,6.8
Wreck-It Ralph,0,1,0,101,72,7.8
Snow White and the Huntsman,1,0,1,127,57,6.1
Pan,0,0,0,111,36,5.8
Transformers: Dark of the Moon,1,0,0,154,42,6.3
Juno,0,1,1,96,81,7.5
A Hologram for the King,0,1,1,98,58,6.1
Money Monster,0,0,1,98,55,6.5
The Other Woman,0,1,0,109,39,6
Enchanted,0,1,0,107,75,7.1
The Intern,0,1,1,121,51,7.1
Little Miss Sunshine,0,1,1,101,80,7.8
Bleed for This,0,0,1,117,62,6.8
Clash of the Titans,1,0,0,106,39,5.8
The Finest Hours,1,0,1,117,58,6.8
Tron,1,0,0,125,49,6.8
The Hunger Games: Catching Fire,1,0,0,146,76,7.6
All Good Things,0,0,1,101,57,6.3
Kickboxer: Vengeance,1,0,0,90,37,4.9
The Last Airbender,1,0,0,103,20,4.2
Sex Tape,0,1,0,94,36,5.1
What to Expect When You're Expecting,0,1,1,110,41,5.7
Moneyball,0,0,1,133,87,7.6
Ghost Rider,1,0,0,114,35,5.2
Unbroken,0,0,1,137,59,7.2
Immortals,1,0,1,110,46,6
Sunshine,0,0,0,107,64,7.3
Brave,0,1,0,93,69,7.2
Män som hatar kvinnor,0,0,1,152,76,7.8
Adoration,0,0,1,112,37,6.2
The Drop,0,0,1,106,69,7.1
She's the Man,0,1,0,105,45,6.4
Daddy's Home,0,1,0,96,42,6.1
Let Me In,0,0,1,116,79,7.2
Never Back Down,1,0,1,110,39,6.6
Grimsby,1,1,0,83,44,6.2
Moon,0,0,1,97,67,7.9
Megamind,1,1,0,95,63,7.3
Gangster Squad,1,0,1,113,40,6.7
Blood Father,1,0,1,88,66,6.4
He's Just Not That Into You,0,1,1,129,47,6.4
Kung Fu Panda 3,1,0,0,95,66,7.2
The Rise of the Krays,0,0,1,110,90,5.1
Handsome Devil,0,0,1,95,,7.4
Winter's Bone,0,0,1,100,,7.2
Horrible Bosses,0,1,0,98,57,6.9
Mommy,0,0,1,139,74,8.1
Hellboy II: The Golden Army,1,0,0,120,78,7
Beautiful Creatures,0,0,1,124,52,6.2
Toni Erdmann,0,1,1,162,93,7.6
The Lovely Bones,0,0,1,135,42,6.7
The Assassination of Jesse James by the Coward Robert Ford,0,0,1,160,68,7.5
Don Jon,0,1,1,90,66,6.6
Bastille Day,1,0,1,92,48,6.3
2307: Winter's Dream,0,0,0,101,53,4
Free State of Jones,1,0,1,139,,6.9
Mr. Right,1,1,0,95,52,6.3
The Secret Life of Walter Mitty,0,1,1,114,54,7.3
Dope,0,1,1,103,72,7.3
Underworld Awakening,1,0,0,88,39,6.4
Antichrist,0,0,1,108,49,6.6
Friday the 13th,0,0,0,97,34,5.6
Taken 3,1,0,0,109,26,6
Total Recall,1,0,0,118,43,6.3
X-Men: The Last Stand,1,0,0,104,58,6.7
The Escort,0,1,1,88,46,6
The Whole Truth,0,0,1,93,,6.1
Night at the Museum: Secret of the Tomb,0,1,0,98,47,6.2
Love & Other Drugs,0,1,1,112,55,6.7
The Interview,0,1,0,112,52,6.6
The Host,0,1,1,120,85,7
Megan Is Missing,0,0,1,85,94,4.9
WALL·E,0,0,0,98,,8.4
Knocked Up,0,1,0,129,85,7
Source Code,0,0,0,93,74,7.5
